bldg_id,in.representative_income,in.sqft..ft2,in.bedrooms,in.cec_climate_zone,in.city,in.clothes_washer,in.clothes_washer_presence,in.door_area,in.geometry_floor_area,in.geometry_floor_area_bin,in.geometry_stories,in.geometry_stories_low_rise,in.heating_fuel,in.hot_water_distribution,in.vacancy_status,in.usage_level,in.water_heater_efficiency,in.water_heater_fuel,in.water_heater_in_unit,in.water_heater_location,in.utility_bill_electricity_marginal_rates,in.utility_bill_fuel_oil_marginal_rates,in.utility_bill_natural_gas_fixed_charges,in.utility_bill_natural_gas_marginal_rates,out.emissions_reduction.total.aer_mid_case_avg..co2e_kg
5354,145989.0,3310.0,5,3,1.0,2.0,1.0,20.0,3499.5,3249.5,1,1,1.0,0.0,0.0,2.0,4.0,1.0,1.0,2.0,0.266971414,3.741846154,4.95,1.964713414,1579.9710868788
6283,89096.0,854.0,2,3,5.0,0.0,0.0,20.0,874.5,749.5,3,3,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.266971414,3.741846154,4.95,1.964713414,156.4258647182
6393,54023.0,1698.0,3,4,5.0,2.0,1.0,20.0,1749.5,1999.5,1,1,2.0,0.0,0.0,0.0,3.0,1.0,1.0,2.0,0.266971414,3.741846154,4.95,1.964713414,530.6395699682
6396,126869.0,1228.0,4,3,5.0,1.0,1.0,20.0,1249.5,749.5,2,2,2.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.266971414,3.741846154,4.95,1.964713414,27.3334762161999
6823,52943.0,623.0,2,3,5.0,0.0,0.0,20.0,624.5,749.5,2,2,2.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,0.266971414,3.741846154,4.95,1.964713414,858.1241892608
7002,74552.0,623.0,1,3,4.0,2.0,1.0,20.0,624.5,749.5,2,2,2.0,0.0,0.0,2.0,4.0,1.0,0.0,0.0,0.266971414,3.741846154,4.95,1.964713414,892.1799044004
7528,,623.0,1,3,4.0,2.0,1.0,20.0,624.5,749.5,4,4,1.0,0.0,1.0,0.0,1.0,0.0,1.0,4.0,0.266971414,3.741846154,4.95,1.964713414,14.424237366
7544,261599.0,2179.0,5,3,4.0,2.0,1.0,20.0,2249.5,1999.5,1,1,2.0,0.0,0.0,2.0,1.0,0.0,1.0,5.0,0.266971414,3.741846154,4.95,1.964713414,100.5296769631
8240,270117.0,1698.0,4,3,2.0,1.0,1.0,20.0,1749.5,1999.5,1,1,2.0,0.0,0.0,2.0,4.0,1.0,1.0,4.0,0.266971414,3.741846154,4.95,1.964713414,452.7532241155
8528,82516.0,1138.0,2,3,5.0,1.0,1.0,20.0,1249.5,749.5,2,2,1.0,0.0,0.0,2.0,4.0,1.0,1.0,4.0,0.266971414,3.741846154,4.95,1.964713414,922.2802940736
9880,64828.0,3310.0,5,3,4.0,1.0,1.0,20.0,3499.5,3249.5,2,2,2.0,0.0,0.0,2.0,4.0,1.0,1.0,5.0,0.266971414,3.741846154,4.95,1.964713414,1339.9662920644
10522,151522.0,2152.0,3,3,4.0,2.0,1.0,20.0,2249.5,1999.5,1,1,2.0,0.0,0.0,1.0,4.0,1.0,1.0,4.0,0.266971414,3.741846154,4.95,1.964713414,500.3169200337
10823,510568.0,2179.0,3,3,5.0,2.0,1.0,20.0,2249.5,1999.5,2,2,2.0,0.0,0.0,2.0,4.0,1.0,1.0,2.0,0.266971414,3.741846154,4.95,1.964713414,1052.9647917943
10928,11284.0,322.0,1,3,5.0,0.0,0.0,20.0,249.5,749.5,3,3,2.0,0.0,0.0,2.0,3.0,1.0,0.0,0.0,0.266971414,3.741846154,4.95,1.964713414,428.463352702
11165,15565.0,1228.0,2,3,5.0,2.0,1.0,20.0,1249.5,749.5,1,1,2.0,0.0,0.0,1.0,3.0,1.0,1.0,4.0,0.266971414,3.741846154,4.95,1.964713414,261.0560167061
11275,191928.0,854.0,1,3,0.0,2.0,1.0,20.0,874.5,749.5,35,4,2.0,0.0,0.0,2.0,3.0,1.0,0.0,0.0,0.266971414,3.741846154,4.95,1.964713414,689.097528504
11380,177119.0,1138.0,2,3,0.0,1.0,1.0,20.0,1249.5,749.5,3,3,2.0,0.0,0.0,2.0,4.0,1.0,0.0,0.0,0.266971414,3.741846154,4.95,1.964713414,565.0309434616
11882,74983.0,1207.0,3,3,5.0,1.0,1.0,20.0,1249.5,749.5,2,2,1.0,0.0,0.0,2.0,1.0,0.0,1.0,4.0,0.266971414,3.741846154,4.95,1.964713414,105.7369173707
12759,336212.0,1698.0,3,3,3.0,2.0,1.0,20.0,1749.5,1999.5,1,1,2.0,0.0,0.0,0.0,3.0,1.0,1.0,5.0,0.266971414,3.741846154,4.95,1.964713414,1574.283038559
12823,,634.0,2,3,5.0,1.0,1.0,20.0,624.5,749.5,2,2,2.0,0.0,1.0,2.0,3.0,1.0,1.0,2.0,0.266971414,3.741846154,4.95,1.964713414,183.3919311147
12985,88238.0,1228.0,3,3,3.0,2.0,1.0,20.0,1249.5,749.5,1,1,2.0,0.0,0.0,2.0,5.0,1.0,1.0,5.0,0.266971414,3.741846154,4.95,1.964713414,741.8775366772
15482,112532.0,6348.0,2,3,0.0,0.0,0.0,20.0,,,1,1,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.266971414,3.741846154,4.95,1.964713414,139.5794440964
15610,,2179.0,4,3,5.0,2.0,1.0,20.0,2249.5,1999.5,2,2,2.0,0.0,1.0,1.0,3.0,1.0,1.0,2.0,0.266971414,3.741846154,4.95,1.964713414,174.4153381124
16511,92831.0,1138.0,2,3,5.0,2.0,1.0,20.0,1249.5,749.5,3,3,2.0,0.0,0.0,2.0,4.0,1.0,1.0,4.0,0.266971414,3.741846154,4.95,1.964713414,1091.5655024813
16615,153542.0,2678.0,4,3,5.0,1.0,1.0,20.0,2749.5,3249.5,2,2,2.0,0.0,0.0,0.0,5.0,1.0,1.0,2.0,0.266971414,3.741846154,4.95,1.964713414,581.1334725966
17187,191119.0,2678.0,3,3,0.0,1.0,1.0,20.0,2749.5,3249.5,1,1,2.0,0.0,0.0,2.0,4.0,1.0,1.0,4.0,0.266971414,3.741846154,4.95,1.964713414,540.2012971278
18836,169699.0,1698.0,4,3,5.0,2.0,1.0,20.0,1749.5,1999.5,1,1,1.0,0.0,0.0,1.0,3.0,1.0,1.0,2.0,0.266971414,3.741846154,4.95,1.964713414,966.5917326989
20515,399323.0,1698.0,4,3,1.0,2.0,1.0,20.0,1749.5,1999.5,1,1,2.0,0.0,0.0,1.0,4.0,1.0,1.0,2.0,0.266971414,3.741846154,4.95,1.964713414,608.0315001376
21178,108047.0,1228.0,2,3,5.0,2.0,1.0,20.0,1249.5,749.5,1,1,2.0,0.0,0.0,2.0,4.0,1.0,1.0,5.0,0.266971414,3.741846154,4.95,1.964713414,681.9126253632
21540,68145.0,854.0,2,3,3.0,0.0,0.0,20.0,874.5,749.5,2,2,2.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.266971414,3.741846154,4.95,1.964713414,1723.4559612809
23377,359620.0,623.0,1,3,5.0,2.0,1.0,20.0,624.5,749.5,4,4,1.0,0.0,0.0,2.0,1.0,0.0,1.0,4.0,0.266971414,3.741846154,4.95,1.964713414,52.6348586148
23510,59040.0,1138.0,1,3,0.0,0.0,0.0,20.0,1249.5,749.5,2,2,1.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.266971414,3.741846154,4.95,1.964713414,318.3175174949
23647,86222.0,1228.0,3,3,5.0,2.0,1.0,20.0,1249.5,749.5,1,1,1.0,0.0,0.0,1.0,4.0,1.0,1.0,5.0,0.266971414,3.741846154,4.95,1.964713414,1388.3736697908
23774,519921.0,1678.0,4,3,1.0,2.0,1.0,20.0,1749.5,1999.5,3,3,1.0,0.0,0.0,2.0,3.0,1.0,1.0,4.0,0.266971414,3.741846154,4.95,1.964713414,419.3824334546
23919,2320.0,1228.0,3,3,5.0,2.0,1.0,20.0,1249.5,749.5,1,1,1.0,0.0,0.0,2.0,4.0,1.0,1.0,5.0,0.266971414,3.741846154,4.95,1.964713414,615.8106092831
24167,194485.0,1138.0,1,3,2.0,0.0,0.0,20.0,1249.5,749.5,3,3,2.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.266971414,3.741846154,4.95,1.964713414,629.0373627923
24877,95081.0,881.0,2,3,0.0,2.0,1.0,20.0,874.5,749.5,1,1,2.0,0.0,0.0,2.0,4.0,1.0,1.0,5.0,0.266971414,3.741846154,4.95,1.964713414,1442.9317600544
25393,,1228.0,3,3,5.0,2.0,1.0,20.0,1249.5,749.5,1,1,2.0,0.0,1.0,1.0,3.0,1.0,1.0,4.0,0.266971414,3.741846154,4.95,1.964713414,175.0050081934
26323,408418.0,623.0,1,3,5.0,0.0,0.0,20.0,624.5,749.5,1,1,2.0,0.0,0.0,2.0,3.0,1.0,1.0,4.0,0.266971414,3.741846154,4.95,1.964713414,941.0998415049
26870,92056.0,1228.0,3,3,5.0,2.0,1.0,20.0,1249.5,749.5,1,1,1.0,0.0,0.0,1.0,1.0,0.0,1.0,5.0,0.266971414,3.741846154,4.95,1.964713414,149.9712452931
27824,73336.0,854.0,2,3,2.0,0.0,0.0,20.0,874.5,749.5,2,2,2.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.266971414,3.741846154,4.95,1.964713414,973.7857076871
29685,322393.0,1698.0,2,3,1.0,1.0,1.0,20.0,1749.5,1999.5,1,1,2.0,0.0,0.0,1.0,3.0,1.0,1.0,2.0,0.266971414,3.741846154,4.95,1.964713414,738.3848754282
29940,21920.0,1228.0,3,3,3.0,1.0,1.0,20.0,1249.5,749.5,1,1,2.0,0.0,0.0,1.0,3.0,1.0,1.0,4.0,0.266971414,3.741846154,4.95,1.964713414,591.1351843551
32590,70710.0,623.0,1,3,0.0,0.0,0.0,20.0,624.5,749.5,3,3,2.0,0.0,0.0,1.0,3.0,1.0,1.0,4.0,0.266971414,3.741846154,4.95,1.964713414,272.0964549919
32674,147645.0,1698.0,3,3,3.0,1.0,1.0,20.0,1749.5,1999.5,2,2,2.0,0.0,0.0,0.0,4.0,1.0,1.0,5.0,0.266971414,3.741846154,4.95,1.964713414,1212.2392165961
33130,171725.0,1698.0,3,3,5.0,2.0,1.0,20.0,1749.5,1999.5,1,1,1.0,0.0,0.0,2.0,4.0,1.0,1.0,4.0,0.266971414,3.741846154,4.95,1.964713414,896.0082240032
33502,152345.0,2179.0,3,3,3.0,1.0,1.0,20.0,2249.5,1999.5,2,2,2.0,0.0,0.0,1.0,4.0,1.0,1.0,4.0,0.266971414,3.741846154,4.95,1.964713414,569.7029448726
33539,153542.0,881.0,2,3,0.0,2.0,1.0,20.0,874.5,749.5,1,1,2.0,0.0,0.0,1.0,3.0,1.0,1.0,2.0,0.266971414,3.741846154,4.95,1.964713414,533.9008991085
33698,42138.0,1698.0,3,3,3.0,1.0,1.0,20.0,1749.5,1999.5,1,1,2.0,0.0,0.0,2.0,4.0,1.0,1.0,2.0,0.266971414,3.741846154,4.95,1.964713414,578.489029079499
34495,41416.0,1698.0,3,3,1.0,2.0,1.0,20.0,1749.5,1999.5,1,1,2.0,0.0,0.0,0.0,4.0,1.0,1.0,2.0,0.266971414,3.741846154,4.95,1.964713414,990.4824428268
34672,276780.0,623.0,1,3,1.0,2.0,1.0,20.0,624.5,749.5,3,3,1.0,0.0,0.0,2.0,4.0,1.0,0.0,0.0,0.266971414,3.741846154,4.95,1.964713414,813.6040981453
34771,88222.0,2179.0,5,3,5.0,1.0,1.0,20.0,2249.5,1999.5,2,2,2.0,0.0,0.0,2.0,4.0,1.0,1.0,2.0,0.266971414,3.741846154,4.95,1.964713414,967.6168514551
34793,282841.0,1138.0,2,3,5.0,2.0,1.0,20.0,1249.5,749.5,1,1,2.0,0.0,0.0,1.0,3.0,1.0,1.0,4.0,0.266971414,3.741846154,4.95,1.964713414,319.6737586812
35021,52170.0,1698.0,3,3,5.0,1.0,1.0,20.0,1749.5,1999.5,1,1,2.0,0.0,0.0,2.0,1.0,0.0,1.0,2.0,0.266971414,3.741846154,4.95,1.964713414,86.6678941359
35502,171751.0,2179.0,4,3,5.0,2.0,1.0,20.0,2249.5,1999.5,1,1,2.0,0.0,0.0,0.0,4.0,1.0,1.0,4.0,0.266971414,3.741846154,4.95,1.964713414,1016.545860407
35608,239404.0,2678.0,5,3,0.0,1.0,1.0,20.0,2749.5,3249.5,1,1,2.0,0.0,0.0,1.0,3.0,1.0,1.0,5.0,0.266971414,3.741846154,4.95,1.964713414,920.8242625659
35771,329307.0,1228.0,3,3,3.0,1.0,1.0,20.0,1249.5,749.5,1,1,2.0,0.0,0.0,2.0,4.0,1.0,1.0,4.0,0.266971414,3.741846154,4.95,1.964713414,1023.0957342298
35972,354503.0,1228.0,3,3,5.0,2.0,1.0,20.0,1249.5,749.5,1,1,1.0,0.0,0.0,2.0,2.0,0.0,1.0,6.0,0.266971414,3.741846154,4.95,1.964713414,512.5094829393
36827,73472.0,2179.0,3,3,2.0,2.0,1.0,20.0,2249.5,1999.5,1,1,2.0,0.0,0.0,1.0,4.0,1.0,1.0,2.0,0.266971414,3.741846154,4.95,1.964713414,984.0505030202
36981,130853.0,1698.0,3,3,5.0,2.0,1.0,20.0,1749.5,1999.5,1,1,2.0,0.0,0.0,2.0,3.0,1.0,1.0,2.0,0.266971414,3.741846154,4.95,1.964713414,661.2288132912
37237,90913.0,1138.0,2,3,5.0,1.0,1.0,20.0,1249.5,749.5,3,3,2.0,0.0,0.0,2.0,5.0,1.0,0.0,0.0,0.266971414,3.741846154,4.95,1.964713414,237.0881958753
37245,22526.0,634.0,2,3,2.0,2.0,1.0,20.0,624.5,749.5,1,1,2.0,0.0,0.0,2.0,4.0,1.0,1.0,5.0,0.266971414,3.741846154,4.95,1.964713414,908.917462853401
37850,73295.0,881.0,2,3,5.0,1.0,1.0,20.0,874.5,749.5,1,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.266971414,3.741846154,4.95,1.964713414,162.9349152277
38052,306548.0,3310.0,4,3,3.0,1.0,1.0,20.0,3499.5,3249.5,2,2,2.0,0.0,0.0,2.0,4.0,1.0,1.0,2.0,0.266971414,3.741846154,4.95,1.964713414,928.8392397438
38413,326970.0,1698.0,3,3,5.0,2.0,1.0,20.0,1749.5,1999.5,1,1,2.0,0.0,0.0,2.0,3.0,1.0,1.0,5.0,0.266971414,3.741846154,4.95,1.964713414,632.7658920737
38513,129657.0,2179.0,4,3,0.0,1.0,1.0,20.0,2249.5,1999.5,1,1,2.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,0.266971414,3.741846154,4.95,1.964713414,38.832042795700495
39192,197240.0,3310.0,4,3,3.0,2.0,1.0,20.0,3499.5,3249.5,1,1,2.0,0.0,0.0,1.0,3.0,1.0,1.0,4.0,0.266971414,3.741846154,4.95,1.964713414,855.497889438499
39344,326970.0,881.0,1,3,5.0,2.0,1.0,20.0,874.5,749.5,1,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.266971414,3.741846154,4.95,1.964713414,120.3153761425
40526,91995.0,1228.0,3,3,2.0,2.0,1.0,20.0,1249.5,749.5,1,1,2.0,0.0,0.0,0.0,4.0,1.0,1.0,4.0,0.266971414,3.741846154,4.95,1.964713414,1580.0481975817
40597,,634.0,2,3,5.0,2.0,1.0,20.0,624.5,749.5,1,1,2.0,0.0,1.0,0.0,3.0,1.0,1.0,5.0,0.266971414,3.741846154,4.95,1.964713414,204.4250093116
42130,17497.0,322.0,1,3,0.0,0.0,0.0,20.0,249.5,749.5,3,3,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.266971414,3.741846154,4.95,1.964713414,133.4876985673
42319,22328.0,1138.0,4,3,5.0,0.0,0.0,20.0,1249.5,749.5,2,2,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.266971414,3.741846154,4.95,1.964713414,205.1915804169
43978,80508.0,2179.0,3,3,5.0,1.0,1.0,20.0,2249.5,1999.5,1,1,2.0,0.0,0.0,0.0,4.0,1.0,1.0,2.0,0.266971414,3.741846154,4.95,1.964713414,1251.4522769826
44216,510568.0,2678.0,3,3,5.0,2.0,1.0,20.0,2749.5,3249.5,2,2,2.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.266971414,3.741846154,4.95,1.964713414,202.3158047911
44924,248508.0,1228.0,3,3,0.0,1.0,1.0,20.0,1249.5,749.5,1,1,2.0,0.0,0.0,2.0,4.0,1.0,1.0,2.0,0.266971414,3.741846154,4.95,1.964713414,741.5645579419
46079,337896.0,2179.0,3,3,3.0,2.0,1.0,20.0,2249.5,1999.5,2,2,1.0,0.0,0.0,1.0,4.0,1.0,1.0,6.0,0.266971414,3.741846154,4.95,1.964713414,933.6790703317
46642,107271.0,854.0,2,3,5.0,0.0,0.0,20.0,874.5,749.5,3,3,2.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.266971414,3.741846154,4.95,1.964713414,502.1176817426
47018,383855.0,2179.0,3,3,5.0,2.0,1.0,20.0,2249.5,1999.5,2,2,1.0,0.0,0.0,1.0,4.0,1.0,1.0,5.0,0.266971414,3.741846154,4.95,1.964713414,1385.8290165951
47093,90913.0,1228.0,3,3,0.0,2.0,1.0,20.0,1249.5,749.5,1,1,2.0,0.0,0.0,2.0,3.0,1.0,1.0,5.0,0.266971414,3.741846154,4.95,1.964713414,679.8306363849
47411,42184.0,1138.0,2,3,4.0,1.0,1.0,20.0,1249.5,749.5,3,3,2.0,0.0,0.0,1.0,5.0,1.0,1.0,4.0,0.266971414,3.741846154,4.95,1.964713414,314.9563980332
47517,63950.0,854.0,1,3,5.0,0.0,0.0,20.0,874.5,749.5,2,2,2.0,0.0,0.0,2.0,4.0,1.0,1.0,4.0,0.266971414,3.741846154,4.95,1.964713414,719.4020347437
47544,261599.0,2678.0,3,3,4.0,2.0,1.0,20.0,2749.5,3249.5,1,1,2.0,0.0,0.0,0.0,3.0,1.0,1.0,2.0,0.266971414,3.741846154,4.95,1.964713414,846.4441857333
49519,258597.0,1228.0,3,3,0.0,2.0,1.0,20.0,1249.5,749.5,1,1,2.0,0.0,0.0,2.0,4.0,1.0,1.0,4.0,0.266971414,3.741846154,4.95,1.964713414,879.438494727101
49546,322393.0,2179.0,2,3,1.0,2.0,1.0,20.0,2249.5,1999.5,2,2,2.0,0.0,0.0,2.0,3.0,1.0,1.0,5.0,0.266971414,3.741846154,4.95,1.964713414,895.2870121349
49831,173469.0,2179.0,3,3,4.0,2.0,1.0,20.0,2249.5,1999.5,1,1,1.0,0.0,0.0,2.0,5.0,1.0,1.0,4.0,0.266971414,3.741846154,4.95,1.964713414,488.5824854218
49869,73424.0,1228.0,3,3,0.0,2.0,1.0,20.0,1249.5,749.5,1,1,1.0,0.0,0.0,2.0,7.0,2.0,1.0,4.0,0.266971414,3.741846154,4.95,1.964713414,1829.4786418447
50105,89030.0,1678.0,3,3,5.0,1.0,1.0,20.0,1749.5,1999.5,2,2,2.0,0.0,0.0,2.0,3.0,1.0,1.0,4.0,0.266971414,3.741846154,4.95,1.964713414,446.1625269794
50813,142430.0,854.0,2,3,0.0,0.0,0.0,20.0,874.5,749.5,2,2,1.0,0.0,0.0,1.0,3.0,1.0,1.0,4.0,0.266971414,3.741846154,4.95,1.964713414,446.5662241887
52334,232333.0,1138.0,1,3,5.0,0.0,0.0,20.0,1249.5,749.5,3,3,1.0,0.0,0.0,2.0,4.0,1.0,1.0,4.0,0.266971414,3.741846154,4.95,1.964713414,512.332581915
52473,377084.0,2678.0,3,3,3.0,1.0,1.0,20.0,2749.5,3249.5,1,1,2.0,0.0,0.0,2.0,3.0,1.0,1.0,2.0,0.266971414,3.741846154,4.95,1.964713414,546.5651980789
52743,84369.0,854.0,1,3,5.0,1.0,1.0,20.0,874.5,749.5,2,2,2.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.266971414,3.741846154,4.95,1.964713414,608.5803469053
53041,85033.0,625.0,3,3,5.0,2.0,1.0,20.0,624.5,749.5,2,2,1.0,0.0,0.0,2.0,1.0,0.0,1.0,5.0,0.266971414,3.741846154,4.95,1.964713414,278.4013889349
53348,,1228.0,3,3,5.0,0.0,0.0,20.0,1249.5,749.5,1,1,2.0,0.0,1.0,0.0,4.0,1.0,1.0,5.0,0.266971414,3.741846154,4.95,1.964713414,382.4736223077
53475,62221.0,1228.0,3,3,5.0,0.0,0.0,20.0,1249.5,749.5,1,1,1.0,0.0,0.0,0.0,4.0,1.0,1.0,4.0,0.266971414,3.741846154,4.95,1.964713414,1345.672484079
54756,246989.0,1207.0,2,3,1.0,2.0,1.0,20.0,1249.5,749.5,2,2,2.0,0.0,0.0,2.0,3.0,1.0,1.0,4.0,0.266971414,3.741846154,4.95,1.964713414,870.5843716647
54846,40406.0,1228.0,3,3,6.0,2.0,1.0,20.0,1249.5,749.5,1,1,2.0,0.0,0.0,2.0,4.0,1.0,1.0,2.0,0.266971414,3.741846154,4.95,1.964713414,994.8686810447
55215,326970.0,2179.0,3,3,5.0,2.0,1.0,20.0,2249.5,1999.5,1,1,1.0,0.0,0.0,2.0,1.0,0.0,1.0,5.0,0.266971414,3.741846154,4.95,1.964713414,112.8492457323
56081,185611.0,854.0,2,3,3.0,0.0,0.0,20.0,874.5,749.5,3,3,1.0,0.0,0.0,2.0,2.0,0.0,1.0,4.0,0.266971414,3.741846154,4.95,1.964713414,104.3171732526
56492,359605.0,1207.0,3,3,1.0,1.0,1.0,20.0,1249.5,749.5,2,2,1.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,0.266971414,3.741846154,4.95,1.964713414,210.058626547
56555,37600.0,881.0,3,3,5.0,2.0,1.0,20.0,874.5,749.5,1,1,2.0,0.0,0.0,2.0,5.0,1.0,1.0,5.0,0.266971414,3.741846154,4.95,1.964713414,517.7257951943
57007,399323.0,5587.0,4,3,5.0,1.0,1.0,20.0,,,1,1,2.0,0.0,0.0,2.0,2.0,0.0,1.0,4.0,0.266971414,3.741846154,4.95,1.964713414,-99.3548727248008
57623,358566.0,854.0,2,3,3.0,1.0,1.0,20.0,874.5,749.5,2,2,2.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.266971414,3.741846154,4.95,1.964713414,330.1971016652
57943,66554.0,1138.0,2,3,0.0,2.0,1.0,20.0,1249.5,749.5,6,4,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.266971414,3.741846154,4.95,1.964713414,228.4563330742
58669,13940.0,1228.0,4,3,3.0,2.0,1.0,20.0,1249.5,749.5,1,1,2.0,0.0,0.0,2.0,3.0,1.0,1.0,5.0,0.266971414,3.741846154,4.95,1.964713414,721.0893983601
59023,109952.0,854.0,1,3,4.0,0.0,0.0,20.0,874.5,749.5,2,2,2.0,0.0,0.0,1.0,3.0,1.0,1.0,4.0,0.266971414,3.741846154,4.95,1.964713414,824.0956896634
59427,89139.0,1698.0,3,3,5.0,2.0,1.0,20.0,1749.5,1999.5,2,2,2.0,0.0,0.0,2.0,4.0,1.0,1.0,5.0,0.266971414,3.741846154,4.95,1.964713414,909.543420324
59850,84682.0,1698.0,4,3,5.0,2.0,1.0,20.0,1749.5,1999.5,1,1,2.0,0.0,0.0,1.0,4.0,1.0,1.0,2.0,0.266971414,3.741846154,4.95,1.964713414,981.8823314916
59919,74751.0,1228.0,3,3,4.0,2.0,1.0,20.0,1249.5,749.5,1,1,2.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,0.266971414,3.741846154,4.95,1.964713414,56.5312170731
60452,248508.0,2179.0,5,3,5.0,2.0,1.0,20.0,2249.5,1999.5,2,2,2.0,0.0,0.0,0.0,4.0,1.0,1.0,2.0,0.266971414,3.741846154,4.95,1.964713414,901.601017925299
60490,109096.0,1228.0,2,3,3.0,1.0,1.0,20.0,1249.5,749.5,2,2,2.0,0.0,0.0,0.0,4.0,1.0,1.0,2.0,0.266971414,3.741846154,4.95,1.964713414,2435.4462966988
60951,105670.0,1698.0,3,4,5.0,2.0,1.0,20.0,1749.5,1999.5,1,1,2.0,0.0,0.0,2.0,5.0,1.0,1.0,2.0,0.266971414,3.741846154,4.95,1.964713414,967.603243684001
61094,305836.0,2179.0,2,3,3.0,2.0,1.0,20.0,2249.5,1999.5,1,1,2.0,0.0,0.0,2.0,3.0,1.0,1.0,4.0,0.266971414,3.741846154,4.95,1.964713414,292.022767806
61392,307826.0,1698.0,3,3,5.0,2.0,1.0,20.0,1749.5,1999.5,2,2,2.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.266971414,3.741846154,4.95,1.964713414,64.6414486487001
63618,111500.0,854.0,1,3,5.0,1.0,1.0,20.0,874.5,749.5,2,2,2.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.266971414,3.741846154,4.95,1.964713414,1128.3654514594
64294,127900.0,854.0,1,3,5.0,2.0,1.0,20.0,874.5,749.5,2,2,2.0,0.0,0.0,1.0,4.0,1.0,1.0,4.0,0.266971414,3.741846154,4.95,1.964713414,355.4576607505
