bldg_id,in.representative_income,in.sqft..ft2,in.bedrooms,in.cec_climate_zone,in.city,in.clothes_washer,in.clothes_washer_presence,in.clothes_washer_usage_level,in.dishwasher_usage_level,in.door_area,in.geometry_building_type_acs,in.geometry_building_type_height,in.geometry_building_type_recs,in.geometry_floor_area,in.geometry_floor_area_bin,in.geometry_stories,in.geometry_stories_low_rise,in.heating_fuel,in.hot_water_distribution,in.hot_water_fixtures,in.vacancy_status,in.usage_level,in.water_heater_efficiency,in.water_heater_fuel,in.water_heater_in_unit,in.water_heater_location,in.utility_bill_electricity_marginal_rates,in.utility_bill_fuel_oil_marginal_rates,in.utility_bill_natural_gas_fixed_charges,in.utility_bill_natural_gas_marginal_rates,out.electricity.net.energy_savings..kwh,out.utility_bills.total_bill_savings..usd,out.energy_burden_savings..percentage,out.emissions_reduction.total.aer_mid_case_avg..co2e_kg
295463,14599.0,623.0,1,3,In another census Place,,,100% Usage,100% Usage,20 ft^2,5 to 9 Unit,"Multi-Family with 5+ Units, 1-3 Stories",Multi-Family with 5+ Units,500-749,0-1499,3,3,,Uninsulated,110% Usage,Occupied,Medium,Natural Gas Premium,Natural Gas,No,Conditioned Mechanical Room,0.266971414,3.741846154,4.95,1.964713414,-299.2255626742,46.98,0.321802863209809,403.8106073925
295552,66013.0,1138.0,2,3,In another census Place,EnergyStar,Yes,120% Usage,120% Usage,20 ft^2,5 to 9 Unit,"Multi-Family with 5+ Units, 1-3 Stories",Multi-Family with 5+ Units,1000-1499,0-1499,2,2,Electricity,Uninsulated,140% Usage,Occupied,High,Natural Gas Standard,Natural Gas,No,Conditioned Mechanical Room,0.266971414,3.741846154,4.95,1.964713414,-606.9501863842,207.21,0.313892718100981,998.0937227954
297057,,881.0,2,3,In another census Place,EnergyStar,Yes,120% Usage,120% Usage,20 ft^2,Single-Family Detached,Single-Family Detached,Single-Family Detached,750-999,0-1499,1,1,Natural Gas,Uninsulated,120% Usage,Vacant,High,Natural Gas Tankless,Natural Gas,Yes,Living Space,0.266971414,3.741846154,4.95,1.964713414,-157.3791646974,-41.89,,-14.6419617036
297432,268713.0,2678.0,4,3,"CA, South San Francisco",Standard,Yes,80% Usage,80% Usage,20 ft^2,Single-Family Detached,Single-Family Detached,Single-Family Detached,2500-2999,2500-3999,2,2,Natural Gas,Uninsulated,70% Usage,Occupied,Low,Electric Standard,Electricity,Yes,Garage,0.266971414,3.741846154,4.95,1.964713414,2301.7801853508,602.82,0.224336001607663,134.2542696726
297524,134349.0,6348.0,3,3,"CA, Daly City",EnergyStar,Yes,100% Usage,100% Usage,20 ft^2,2 Unit,Multi-Family with 2 - 4 Units,Multi-Family with 2 - 4 Units,4000,4000,2,2,Electricity,Uninsulated,90% Usage,Occupied,Medium,Natural Gas Standard,Natural Gas,Yes,Crawlspace,0.266971414,3.741846154,4.95,1.964713414,-897.3836169524,121.87,0.0907115051098257,944.2704521712
298498,12377.0,854.0,2,3,"CA, Daly City",,,120% Usage,120% Usage,20 ft^2,20 to 49 Unit,"Multi-Family with 5+ Units, 1-3 Stories",Multi-Family with 5+ Units,750-999,0-1499,3,3,Natural Gas,Uninsulated,130% Usage,Occupied,High,Natural Gas Standard,Natural Gas,No,Conditioned Mechanical Room,0.266971414,3.741846154,4.95,1.964713414,-548.9221144846,134.64,1.0878241900299,911.0584188398
298746,83238.0,1207.0,3,3,"CA, Daly City",Standard,Yes,120% Usage,120% Usage,20 ft^2,Single-Family Attached,Single-Family Attached,Single-Family Attached,1000-1499,0-1499,1,1,Natural Gas,Uninsulated,140% Usage,Occupied,High,Natural Gas Standard,Natural Gas,Yes,Living Space,0.266971414,3.741846154,4.95,1.964713414,-151.224672223199,259.65,0.311936855762993,1007.4195819226
299812,83548.0,854.0,2,3,"CA, Daly City",,,80% Usage,80% Usage,20 ft^2,20 to 49 Unit,"Multi-Family with 5+ Units, 4-7 Stories",Multi-Family with 5+ Units,750-999,0-1499,4,4,Electricity,Uninsulated,80% Usage,Occupied,Low,Electric Tankless,Electricity,Yes,Living Space,0.266971414,3.741846154,4.95,1.964713414,1484.404970563,396.29,0.474326135873989,113.7473586249
299851,22042.0,881.0,2,3,"CA, South San Francisco",Standard,Yes,100% Usage,100% Usage,20 ft^2,Single-Family Detached,Single-Family Detached,Single-Family Detached,750-999,0-1499,1,1,Natural Gas,Uninsulated,110% Usage,Occupied,Medium,Natural Gas Standard,Natural Gas,Yes,Living Space,0.266971414,3.741846154,4.95,1.964713414,-350.8060710294,101.82,0.461936303420743,635.3695122775
300224,312373.0,1682.0,3,3,In another census Place,EnergyStar,Yes,120% Usage,120% Usage,20 ft^2,50 or more Unit,"Multi-Family with 5+ Units, 4-7 Stories",Multi-Family with 5+ Units,1500-1999,1500-2499,4,4,Electricity,Uninsulated,120% Usage,Occupied,High,Electric Standard,Electricity,No,Conditioned Mechanical Room,0.266971414,3.741846154,4.95,1.964713414,3533.2648223312,943.3,0.301978724153496,265.3152490604
300718,88922.0,1207.0,2,3,"CA, San Bruno",Standard,Yes,120% Usage,120% Usage,20 ft^2,Single-Family Attached,Single-Family Attached,Single-Family Attached,1000-1499,0-1499,1,1,Natural Gas,Uninsulated,120% Usage,Occupied,High,Natural Gas Standard,Natural Gas,Yes,Outside,0.266971414,3.741846154,4.95,1.964713414,-447.22645312519904,102.2,0.11493218776006,713.8818156008
302105,326970.0,1228.0,3,3,"CA, Redwood City",Standard,Yes,100% Usage,100% Usage,20 ft^2,Single-Family Detached,Single-Family Detached,Single-Family Detached,1000-1499,0-1499,1,1,Natural Gas,Uninsulated,90% Usage,Occupied,Medium,Natural Gas Premium,Natural Gas,Yes,Living Space,0.266971414,3.741846154,4.95,1.964713414,-472.7236362326,11.1199999999999,0.0034009236321375,428.2320205933
302957,79739.0,623.0,1,3,"CA, San Mateo",,,120% Usage,120% Usage,20 ft^2,10 to 19 Unit,"Multi-Family with 5+ Units, 4-7 Stories",Multi-Family with 5+ Units,500-749,0-1499,5,4,Natural Gas,Uninsulated,130% Usage,Occupied,High,Natural Gas Standard,Natural Gas,Yes,Living Space,0.266971414,3.741846154,4.95,1.964713414,-1141.8048894992,167.59,0.210173190032481,1518.1918060848
303163,63782.0,1698.0,2,3,In another census Place,Standard,Yes,120% Usage,120% Usage,20 ft^2,Single-Family Detached,Single-Family Detached,Single-Family Detached,1500-1999,1500-2499,2,2,Natural Gas,Uninsulated,120% Usage,Occupied,High,Natural Gas Premium,Natural Gas,Yes,Living Space,0.266971414,3.741846154,4.95,1.964713414,-398.2835844018,-4.65000000000009,-0.0072904581229815,307.5583064785
304212,248508.0,1698.0,4,3,"CA, Daly City",EnergyStar,Yes,100% Usage,100% Usage,20 ft^2,Single-Family Detached,Single-Family Detached,Single-Family Detached,1500-1999,1500-2499,1,1,Natural Gas,Uninsulated,90% Usage,Occupied,Medium,Natural Gas Standard,Natural Gas,Yes,Garage,0.266971414,3.741846154,4.95,1.964713414,-503.789169673801,98.4000000000001,0.0395963107827515,749.7156128308
304375,108418.0,623.0,2,3,"CA, South San Francisco",,,120% Usage,120% Usage,20 ft^2,50 or more Unit,"Multi-Family with 5+ Units, 4-7 Stories",Multi-Family with 5+ Units,500-749,0-1499,5,4,Electricity,Uninsulated,120% Usage,Occupied,High,Electric Standard,Electricity,No,Conditioned Mechanical Room,0.266971414,3.741846154,4.95,1.964713414,3501.3200756794,934.74,0.862163109446771,266.0954279368
304648,125258.0,623.0,1,3,"CA, South San Francisco",,,80% Usage,80% Usage,20 ft^2,50 or more Unit,"Multi-Family with 5+ Units, 8+ Stories",Multi-Family with 5+ Units,500-749,0-1499,21,4,Natural Gas,Uninsulated,70% Usage,Occupied,Low,Natural Gas Tankless,Natural Gas,No,Conditioned Mechanical Room,0.266971414,3.741846154,4.95,1.964713414,-343.7723653446,15.8399999999999,0.0126458988647432,337.9036360315
305013,90976.0,1228.0,3,3,"CA, Daly City",Standard,Yes,100% Usage,100% Usage,20 ft^2,Single-Family Detached,Single-Family Detached,Single-Family Detached,1000-1499,0-1499,1,1,Natural Gas,Uninsulated,90% Usage,Occupied,Medium,Natural Gas Premium,Natural Gas,Yes,Outside,0.266971414,3.741846154,4.95,1.964713414,-1049.194431316,122.21,0.134332131551178,1284.3513315787
305364,129198.0,1678.0,3,3,In another census Place,EnergyStar,Yes,80% Usage,80% Usage,20 ft^2,Single-Family Attached,Single-Family Attached,Single-Family Attached,1500-1999,1500-2499,2,2,Natural Gas,Uninsulated,70% Usage,Occupied,Low,Natural Gas Premium,Natural Gas,Yes,Living Space,0.266971414,3.741846154,4.95,1.964713414,-387.1468837342,8.18000000000006,0.0063313673586278,344.6349468023
305505,57762.0,854.0,1,3,"CA, Daly City",EnergyStar,Yes,80% Usage,80% Usage,20 ft^2,50 or more Unit,"Multi-Family with 5+ Units, 1-3 Stories",Multi-Family with 5+ Units,750-999,0-1499,2,2,Natural Gas,Uninsulated,70% Usage,Occupied,Low,Natural Gas Standard,Natural Gas,No,Conditioned Mechanical Room,0.266971414,3.741846154,4.95,1.964713414,-259.0748260568,85.0699999999999,0.147276756345002,502.0904662004
306445,262638.0,854.0,1,4,In another census Place,,,100% Usage,100% Usage,20 ft^2,5 to 9 Unit,"Multi-Family with 5+ Units, 1-3 Stories",Multi-Family with 5+ Units,750-999,0-1499,1,1,Electricity,Uninsulated,100% Usage,Occupied,Medium,Electric Standard,Electricity,Yes,Living Space,0.266971414,3.741846154,4.95,1.964713414,1348.7130650604,360.05,0.137089834677389,99.5725970624
306971,519921.0,1207.0,2,3,"CA, Redwood City",Standard,Yes,120% Usage,120% Usage,20 ft^2,Single-Family Attached,Single-Family Attached,Single-Family Attached,1000-1499,0-1499,2,2,Natural Gas,Uninsulated,120% Usage,Occupied,High,Natural Gas Premium,Natural Gas,Yes,Living Space,0.266971414,3.741846154,4.95,1.964713414,-92.0243160428008,96.77,0.0186124430442317,402.0960282339
307129,89219.0,1698.0,5,3,In another census Place,EnergyStar,Yes,100% Usage,100% Usage,20 ft^2,Single-Family Detached,Single-Family Detached,Single-Family Detached,1500-1999,1500-2499,2,2,Natural Gas,Uninsulated,90% Usage,Occupied,Medium,Natural Gas Standard,Natural Gas,Yes,Garage,0.266971414,3.741846154,4.95,1.964713414,-889.177626986801,178.91,0.200529035295173,1345.1780683957
307647,408008.0,1207.0,2,3,"CA, San Mateo",EnergyStar,Yes,80% Usage,80% Usage,20 ft^2,Single-Family Attached,Single-Family Attached,Single-Family Attached,1000-1499,0-1499,1,1,Electricity,Uninsulated,70% Usage,Occupied,Low,Electric Standard,Electricity,Yes,Living Space,0.266971414,3.741846154,4.95,1.964713414,919.3639472174,245.47,0.0601630360189016,74.7338788811999
307798,92805.0,3310.0,3,3,Not in a census Place,Standard,Yes,100% Usage,100% Usage,20 ft^2,Single-Family Detached,Single-Family Detached,Single-Family Detached,3000-3999,2500-3999,1,1,Natural Gas,Uninsulated,110% Usage,Occupied,Medium,Natural Gas Premium,Natural Gas,Yes,Outside,0.266971414,3.741846154,4.95,1.964713414,-838.476331842201,98.9400000000001,0.106610635202844,1030.4666102423
309388,222232.0,1138.0,2,3,"CA, San Mateo",EnergyStar,Yes,100% Usage,100% Usage,20 ft^2,2 Unit,Multi-Family with 2 - 4 Units,Multi-Family with 2 - 4 Units,1000-1499,0-1499,2,2,Electricity,Uninsulated,100% Usage,Occupied,Medium,Natural Gas Standard,Natural Gas,No,Conditioned Mechanical Room,0.266971414,3.741846154,4.95,1.964713414,-820.892067630201,241.72,0.108769214154577,1297.3875762925
309794,416499.0,1228.0,3,3,In another census Place,Standard,Yes,100% Usage,100% Usage,20 ft^2,Single-Family Detached,Single-Family Detached,Single-Family Detached,1000-1499,0-1499,1,1,Natural Gas,Uninsulated,90% Usage,Occupied,Medium,Natural Gas Premium,Natural Gas,Yes,Outside,0.266971414,3.741846154,4.95,1.964713414,-732.0915333596,85.8600000000001,0.0206146953534103,892.9237958872
310166,153542.0,3310.0,5,3,In another census Place,Standard,Yes,100% Usage,100% Usage,20 ft^2,Single-Family Detached,Single-Family Detached,Single-Family Detached,3000-3999,2500-3999,1,1,Natural Gas,Uninsulated,90% Usage,Occupied,Medium,Natural Gas Standard,Natural Gas,Yes,Outside,0.266971414,3.741846154,4.95,1.964713414,-571.195515819802,114.56,0.074611506949239,859.362496430899
310225,126631.0,1678.0,2,3,"CA, Redwood City",Standard,Yes,120% Usage,120% Usage,20 ft^2,Single-Family Attached,Single-Family Attached,Single-Family Attached,1500-1999,1500-2499,2,2,Electricity,Uninsulated,120% Usage,Occupied,High,Propane Standard,Propane,Yes,Living Space,0.266971414,3.741846154,4.95,1.964713414,-1734.1015223734,94.2800000000007,0.0744525432161161,1421.4586972586
310780,262638.0,1207.0,3,3,"CA, Redwood City",EnergyStar,Yes,80% Usage,80% Usage,20 ft^2,Single-Family Attached,Single-Family Attached,Single-Family Attached,1000-1499,0-1499,2,2,Electricity,Uninsulated,70% Usage,Occupied,Low,Electric Premium,Electricity,Yes,Living Space,0.266971414,3.741846154,4.95,1.964713414,1208.0389513644,322.55,0.122811626649609,87.9651683141001
310897,337896.0,2678.0,4,3,"CA, San Mateo",EnergyStar,Yes,100% Usage,100% Usage,20 ft^2,Single-Family Detached,Single-Family Detached,Single-Family Detached,2500-2999,2500-3999,1,1,Natural Gas,Uninsulated,100% Usage,Occupied,Medium,Electric Premium,Electricity,Yes,Garage,0.266971414,3.741846154,4.95,1.964713414,2078.1669587882,544.59,0.161170892819092,122.2975747994
311339,,1228.0,3,3,In another census Place,Standard,Yes,100% Usage,100% Usage,20 ft^2,Single-Family Detached,Single-Family Detached,Single-Family Detached,1000-1499,0-1499,1,1,Natural Gas,Uninsulated,110% Usage,Vacant,Medium,Natural Gas Standard,Natural Gas,Yes,Outside,0.266971414,3.741846154,4.95,1.964713414,-197.822972385,65.4300000000001,,382.4781582314
311624,,2179.0,5,3,In another census Place,EnergyStar,Yes,100% Usage,100% Usage,20 ft^2,Single-Family Detached,Single-Family Detached,Single-Family Detached,2000-2499,1500-2499,1,1,Natural Gas,Uninsulated,100% Usage,Vacant,Medium,Natural Gas Standard,Natural Gas,Yes,Garage,0.266971414,3.741846154,4.95,1.964713414,-196.9437591744,51.96,,335.9713325353
312533,167095.0,1228.0,3,3,In another census Place,EnergyStar,Yes,100% Usage,100% Usage,20 ft^2,Single-Family Detached,Single-Family Detached,Single-Family Detached,1000-1499,0-1499,1,1,Natural Gas,Uninsulated,110% Usage,Occupied,Medium,Natural Gas Standard,Natural Gas,Yes,Outside,0.266971414,3.741846154,4.95,1.964713414,-969.7721712918,172.52,0.103246656093839,1385.3663523777
312610,261599.0,1228.0,2,3,In another census Place,EnergyStar,Yes,100% Usage,100% Usage,20 ft^2,Single-Family Detached,Single-Family Detached,Single-Family Detached,1000-1499,0-1499,1,1,Natural Gas,Uninsulated,90% Usage,Occupied,Medium,Natural Gas Tankless,Natural Gas,Yes,Outside,0.266971414,3.741846154,4.95,1.964713414,-534.2685609746,-0.990000000000237,-0.0003784418136154,435.7344383931
312640,263651.0,1138.0,2,3,"CA, San Mateo",,,80% Usage,80% Usage,20 ft^2,20 to 49 Unit,"Multi-Family with 5+ Units, 4-7 Stories",Multi-Family with 5+ Units,1000-1499,0-1499,7,4,Natural Gas,Uninsulated,60% Usage,Occupied,Low,Natural Gas Standard,Natural Gas,No,Conditioned Mechanical Room,0.266971414,3.741846154,4.95,1.964713414,-355.7882792228,98.42,0.0373296516986471,627.8353430118
312727,154718.0,1138.0,2,3,In another census Place,,,100% Usage,100% Usage,20 ft^2,50 or more Unit,"Multi-Family with 5+ Units, 1-3 Stories",Multi-Family with 5+ Units,1000-1499,0-1499,2,2,Electricity,Uninsulated,100% Usage,Occupied,Medium,Electric Standard,Electricity,No,Conditioned Mechanical Room,0.266971414,3.741846154,4.95,1.964713414,2946.5365397908,786.67,0.508454090668183,235.3872244878
314263,306548.0,1698.0,3,3,"CA, San Mateo",Standard,Yes,120% Usage,120% Usage,20 ft^2,Single-Family Detached,Single-Family Detached,Single-Family Detached,1500-1999,1500-2499,2,2,Natural Gas,Uninsulated,130% Usage,Occupied,High,Natural Gas Standard,Natural Gas,Yes,Living Space,0.266971414,3.741846154,4.95,1.964713414,-1121.2899145852,160.35,0.0523082845100931,1476.2889429442
314670,76714.0,2678.0,4,3,"CA, Redwood City",EnergyStar,Yes,120% Usage,120% Usage,20 ft^2,Single-Family Detached,Single-Family Detached,Single-Family Detached,2500-2999,2500-3999,2,2,Natural Gas,Uninsulated,120% Usage,Occupied,High,Natural Gas Standard,Natural Gas,Yes,Garage,0.266971414,3.741846154,4.95,1.964713414,-999.6654204522,205.28,0.267591313189248,1528.0438323612
314840,163885.0,623.0,1,3,"CA, Daly City",,,120% Usage,120% Usage,20 ft^2,2 Unit,Multi-Family with 2 - 4 Units,Multi-Family with 2 - 4 Units,500-749,0-1499,2,2,Electricity,Uninsulated,130% Usage,Occupied,High,Electric Standard,Electricity,Yes,Outside,0.266971414,3.741846154,4.95,1.964713414,2751.6442781078,734.57,0.448222839186015,209.3827739157
315442,267971.0,1682.0,4,3,"CA, Redwood City",EnergyStar,Yes,80% Usage,80% Usage,20 ft^2,50 or more Unit,"Multi-Family with 5+ Units, 1-3 Stories",Multi-Family with 5+ Units,1500-1999,1500-2499,3,3,Electricity,Uninsulated,80% Usage,Occupied,Low,Electric Standard,Electricity,No,Conditioned Mechanical Room,0.266971414,3.741846154,4.95,1.964713414,3473.4783240104,927.26,0.346029980856137,284.9104394444
316261,475778.0,3310.0,5,3,In another census Place,Standard,Yes,120% Usage,120% Usage,20 ft^2,Single-Family Detached,Single-Family Detached,Single-Family Detached,3000-3999,2500-3999,2,2,Natural Gas,Uninsulated,120% Usage,Occupied,High,Natural Gas Premium,Natural Gas,Yes,Garage,0.266971414,3.741846154,4.95,1.964713414,-967.4276027302,242.32,0.0509313167065313,1624.1600555642
317126,69604.0,854.0,2,3,"CA, Daly City",,,100% Usage,100% Usage,20 ft^2,2 Unit,Multi-Family with 2 - 4 Units,Multi-Family with 2 - 4 Units,750-999,0-1499,2,2,Electricity,Uninsulated,90% Usage,Occupied,Medium,Electric Standard,Electricity,No,Conditioned Mechanical Room,0.266971414,3.741846154,4.95,1.964713414,735.608386202,196.4,0.282167691511982,69.3270578308
317507,262638.0,1138.0,1,3,In another census Place,,,120% Usage,120% Usage,20 ft^2,10 to 19 Unit,"Multi-Family with 5+ Units, 1-3 Stories",Multi-Family with 5+ Units,1000-1499,0-1499,3,3,,Uninsulated,120% Usage,Occupied,High,Electric Standard,Electricity,No,Conditioned Mechanical Room,0.266971414,3.741846154,4.95,1.964713414,1740.5490859178,464.69,0.176931746358105,134.9754815409
317735,132026.0,3310.0,4,3,In another census Place,EnergyStar,Yes,100% Usage,100% Usage,20 ft^2,Single-Family Detached,Single-Family Detached,Single-Family Detached,3000-3999,2500-3999,2,2,Natural Gas,Uninsulated,100% Usage,Occupied,Medium,Natural Gas Standard,Natural Gas,Yes,Living Space,0.266971414,3.741846154,4.95,1.964713414,-744.693589378199,60.970000000000304,0.0461802978201265,822.8845980355
317802,,634.0,3,3,In another census Place,EnergyStar,Yes,120% Usage,120% Usage,20 ft^2,Single-Family Detached,Single-Family Detached,Single-Family Detached,500-749,0-1499,1,1,Natural Gas,Uninsulated,150% Usage,Vacant,High,Natural Gas Premium,Natural Gas,Yes,Outside,0.266971414,3.741846154,4.95,1.964713414,-197.822972385,12.71,,203.2365973022
318413,29912.0,1138.0,2,3,In another census Place,,,120% Usage,120% Usage,20 ft^2,50 or more Unit,"Multi-Family with 5+ Units, 1-3 Stories",Multi-Family with 5+ Units,1000-1499,0-1499,3,3,Electricity,Uninsulated,120% Usage,Occupied,High,Electric Standard,Electricity,No,Conditioned Mechanical Room,0.266971414,3.741846154,4.95,1.964713414,3350.3884745264,894.5,2.99043861995186,255.6990908164
318608,43456.0,623.0,1,3,In another census Place,Standard,Yes,100% Usage,100% Usage,20 ft^2,5 to 9 Unit,"Multi-Family with 5+ Units, 1-3 Stories",Multi-Family with 5+ Units,500-749,0-1499,3,3,Electricity,Uninsulated,100% Usage,Occupied,Medium,Natural Gas Standard,Natural Gas,No,Conditioned Mechanical Room,0.266971414,3.741846154,4.95,1.964713414,-489.428687234,124.18,0.285760309278351,827.0621837632
318670,84373.0,854.0,3,3,In another census Place,,,80% Usage,80% Usage,20 ft^2,5 to 9 Unit,"Multi-Family with 5+ Units, 1-3 Stories",Multi-Family with 5+ Units,750-999,0-1499,2,2,Natural Gas,Uninsulated,80% Usage,Occupied,Low,Electric Tankless,Electricity,Yes,Outside,0.266971414,3.741846154,4.95,1.964713414,2649.6555456782,707.4,0.838419873656264,190.7764148983
318713,89096.0,881.0,3,3,In another census Place,Standard,Yes,100% Usage,100% Usage,20 ft^2,Single-Family Detached,Single-Family Detached,Single-Family Detached,750-999,0-1499,1,1,Electricity,Uninsulated,100% Usage,Occupied,Medium,Electric Standard,Electricity,Yes,Living Space,0.266971414,3.741846154,4.95,1.964713414,1833.4526151712,489.43,0.549328813863698,152.6882635894
319404,415440.0,2179.0,4,3,In another census Place,EnergyStar,Yes,120% Usage,120% Usage,20 ft^2,Single-Family Detached,Single-Family Detached,Single-Family Detached,2000-2499,1500-2499,1,1,Natural Gas,Uninsulated,130% Usage,Occupied,High,Natural Gas Standard,Natural Gas,Yes,Living Space,0.266971414,3.741846154,4.95,1.964713414,-1286.2889271078,218.490000000001,0.0525924321201619,1812.1514133107
319425,336212.0,2678.0,4,3,In another census Place,EnergyStar,Yes,80% Usage,80% Usage,20 ft^2,Single-Family Detached,Single-Family Detached,Single-Family Detached,2500-2999,2500-3999,2,2,Natural Gas,Uninsulated,60% Usage,Occupied,Low,Natural Gas Standard,Natural Gas,Yes,Garage,0.266971414,3.741846154,4.95,1.964713414,-761.6917114498,118.52,0.0352515674633862,1032.9931197432
319739,,623.0,1,3,In another census Place,,,80% Usage,80% Usage,20 ft^2,50 or more Unit,"Multi-Family with 5+ Units, 4-7 Stories",Multi-Family with 5+ Units,500-749,0-1499,5,4,Electricity,Uninsulated,80% Usage,Vacant,Low,Electric Standard,Electricity,No,Conditioned Mechanical Room,0.266971414,3.741846154,4.95,1.964713414,179.6525660326,48.01,,17.3544440762
320286,110005.0,322.0,1,3,In another census Place,,,100% Usage,100% Usage,20 ft^2,50 or more Unit,"Multi-Family with 5+ Units, 8+ Stories",Multi-Family with 5+ Units,0-499,0-1499,15,4,Electricity,Uninsulated,110% Usage,Occupied,Medium,Electric Tankless,Electricity,No,Conditioned Mechanical Room,0.266971414,3.741846154,4.95,1.964713414,702.1982841992,187.46,0.170410435889278,50.7433784319
320735,12655.0,1698.0,4,3,In another census Place,EnergyStar,Yes,120% Usage,120% Usage,20 ft^2,Mobile Home,Mobile Home,Mobile Home,1500-1999,1500-2499,1,1,Natural Gas,Uninsulated,170% Usage,Occupied,High,Natural Gas Standard,Natural Gas,Yes,Outside,0.266971414,3.741846154,4.95,1.964713414,-1390.0360859586,229.13,1.81058870011853,1930.0582139685
320801,92831.0,881.0,2,3,"CA, San Bruno",Standard,Yes,120% Usage,120% Usage,20 ft^2,Single-Family Detached,Single-Family Detached,Single-Family Detached,750-999,0-1499,1,1,Natural Gas,Uninsulated,150% Usage,Occupied,High,Natural Gas Tankless,Natural Gas,Yes,Garage,0.266971414,3.741846154,4.95,1.964713414,-470.08599660079904,-3.18000000000029,-0.0034255798170868,375.8693174005
320953,85314.0,1207.0,3,3,"CA, San Mateo",EnergyStar,Yes,100% Usage,100% Usage,20 ft^2,Single-Family Attached,Single-Family Attached,Single-Family Attached,1000-1499,0-1499,1,1,Electricity,Uninsulated,100% Usage,Occupied,Medium,Natural Gas Standard,Natural Gas,Yes,Outside,0.266971414,3.741846154,4.95,1.964713414,-563.5756679946,179.13,0.209965539067445,867.1552133475
321982,146471.0,623.0,1,3,"CA, South San Francisco",Standard,Yes,100% Usage,100% Usage,20 ft^2,20 to 49 Unit,"Multi-Family with 5+ Units, 1-3 Stories",Multi-Family with 5+ Units,500-749,0-1499,2,2,Electricity,Uninsulated,100% Usage,Occupied,Medium,Natural Gas Standard,Natural Gas,No,Conditioned Mechanical Room,0.266971414,3.741846154,4.95,1.964713414,-500.858458971801,186.71,0.127472332407098,841.0282928355
322120,155749.0,2179.0,4,3,In another census Place,Standard,Yes,100% Usage,100% Usage,20 ft^2,Single-Family Detached,Single-Family Detached,Single-Family Detached,2000-2499,1500-2499,1,1,Natural Gas,Uninsulated,90% Usage,Occupied,Medium,Electric Standard,Electricity,Yes,Garage,0.266971414,3.741846154,4.95,1.964713414,3429.8107345506,912.38,0.585801513974407,247.2940242003
322222,33537.0,854.0,2,3,"CA, San Mateo",,,80% Usage,80% Usage,20 ft^2,2 Unit,Multi-Family with 2 - 4 Units,Multi-Family with 2 - 4 Units,750-999,0-1499,2,2,Electricity,Uninsulated,80% Usage,Occupied,Low,Electric Standard,Electricity,No,Conditioned Mechanical Room,0.266971414,3.741846154,4.95,1.964713414,1284.2374296164,342.87,1.02236335987119,99.2187950138
322712,,1228.0,3,3,Not in a census Place,Standard,Yes,100% Usage,100% Usage,20 ft^2,Single-Family Detached,Single-Family Detached,Single-Family Detached,1000-1499,0-1499,1,1,Natural Gas,Uninsulated,100% Usage,Vacant,Medium,Natural Gas Standard,Natural Gas,Yes,Outside,0.266971414,3.741846154,4.95,1.964713414,-198.1160434552,65.43,,382.4736223077
322765,111788.0,1207.0,3,3,"CA, San Bruno",,,80% Usage,80% Usage,20 ft^2,Single-Family Attached,Single-Family Attached,Single-Family Attached,1000-1499,0-1499,2,2,Electricity,Uninsulated,70% Usage,Occupied,Low,Natural Gas Premium,Natural Gas,Yes,Outside,0.266971414,3.741846154,4.95,1.964713414,-439.8996763702,109.66,0.0980963967509927,532.2861102713
323724,94914.0,881.0,3,3,"CA, South San Francisco",Standard,Yes,80% Usage,80% Usage,20 ft^2,Single-Family Detached,Single-Family Detached,Single-Family Detached,750-999,0-1499,1,1,Natural Gas,Uninsulated,70% Usage,Occupied,Low,Natural Gas Standard,Natural Gas,Yes,Living Space,0.266971414,3.741846154,4.95,1.964713414,-624.5344505962,95.46,0.100575257601618,833.8297819236
324162,95081.0,854.0,1,3,In another census Place,,,120% Usage,120% Usage,20 ft^2,20 to 49 Unit,"Multi-Family with 5+ Units, 4-7 Stories",Multi-Family with 5+ Units,750-999,0-1499,7,4,Natural Gas,Uninsulated,130% Usage,Occupied,High,Natural Gas Standard,Natural Gas,No,Conditioned Mechanical Room,0.266971414,3.741846154,4.95,1.964713414,-572.660871170799,137.23,0.144329571628401,938.5415805381
325522,32198.0,881.0,4,3,In another census Place,Standard,Yes,120% Usage,120% Usage,20 ft^2,Single-Family Detached,Single-Family Detached,Single-Family Detached,750-999,0-1499,1,1,Natural Gas,Uninsulated,140% Usage,Occupied,High,Natural Gas Standard,Natural Gas,Yes,Outside,0.266971414,3.741846154,4.95,1.964713414,-1775.7176143418,285.32,0.886141996397292,2436.6256368608
325606,32204.0,854.0,2,3,In another census Place,EnergyStar,Yes,120% Usage,120% Usage,20 ft^2,3 or 4 Unit,Multi-Family with 2 - 4 Units,Multi-Family with 2 - 4 Units,750-999,0-1499,2,2,Natural Gas,Uninsulated,130% Usage,Occupied,High,Natural Gas Standard,Natural Gas,Yes,Living Space,0.266971414,3.741846154,4.95,1.964713414,-302.7424155166,7.68000000000006,0.0238479691963729,271.6383266982
