bldg_id,in.representative_income,in.sqft..ft2,in.bedrooms,in.cec_climate_zone,in.city,in.clothes_washer,in.clothes_washer_presence,in.clothes_washer_usage_level,in.dishwasher_usage_level,in.door_area,in.geometry_building_type_acs,in.geometry_building_type_height,in.geometry_building_type_recs,in.geometry_floor_area,in.geometry_floor_area_bin,in.geometry_stories,in.geometry_stories_low_rise,in.heating_fuel,in.hot_water_distribution,in.hot_water_fixtures,in.vacancy_status,in.usage_level,in.water_heater_efficiency,in.water_heater_fuel,in.water_heater_in_unit,in.water_heater_location,in.utility_bill_electricity_marginal_rates,in.utility_bill_fuel_oil_marginal_rates,in.utility_bill_natural_gas_fixed_charges,in.utility_bill_natural_gas_marginal_rates,out.electricity.net.energy_savings..kwh,out.utility_bills.total_bill_savings..usd,out.energy_burden_savings..percentage,out.emissions_reduction.total.aer_mid_case_avg..co2e_kg
141113,1.0,623.0,1,3,In another census Place,Standard,Yes,120% Usage,120% Usage,20 ft^2,20 to 49 Unit,"Multi-Family with 5+ Units, 1-3 Stories",Multi-Family with 5+ Units,500-749,0-1499,3,3,Electricity,Uninsulated,130% Usage,Occupied,High,Electric Tankless,Electricity,Yes,Living Space,0.266971414,3.741846154,4.95,1.964713414,966.8414605898,258.15,25815.0,77.9362410134
143081,68145.0,322.0,2,3,In another census Place,,,80% Usage,80% Usage,20 ft^2,20 to 49 Unit,"Multi-Family with 5+ Units, 1-3 Stories",Multi-Family with 5+ Units,0-499,0-1499,2,2,Natural Gas,Uninsulated,70% Usage,Occupied,Low,Natural Gas Premium,Natural Gas,No,Conditioned Mechanical Room,0.266971414,3.741846154,4.95,1.964713414,-711.5765584456,116.35,0.17073886565412,985.1391247082
143096,166064.0,1138.0,3,3,"CA, San Mateo",,,100% Usage,100% Usage,20 ft^2,10 to 19 Unit,"Multi-Family with 5+ Units, 4-7 Stories",Multi-Family with 5+ Units,1000-1499,0-1499,5,4,Natural Gas,Uninsulated,90% Usage,Occupied,Medium,Natural Gas Standard,Natural Gas,No,Conditioned Mechanical Room,0.266971414,3.741846154,4.95,1.964713414,-591.4174196636,144.53,0.0870327102803739,978.1311225917
143117,63950.0,1138.0,2,3,In another census Place,,,100% Usage,100% Usage,20 ft^2,10 to 19 Unit,"Multi-Family with 5+ Units, 1-3 Stories",Multi-Family with 5+ Units,1000-1499,0-1499,1,1,Electricity,Uninsulated,90% Usage,Occupied,Medium,Electric Standard,Electricity,Yes,Living Space,0.266971414,3.741846154,4.95,1.964713414,868.3695810026,231.83,0.362517591868648,65.5214178465
143403,191119.0,2678.0,4,3,In another census Place,EnergyStar,Yes,120% Usage,120% Usage,20 ft^2,Single-Family Detached,Single-Family Detached,Single-Family Detached,2500-2999,2500-3999,2,2,Natural Gas,Uninsulated,120% Usage,Occupied,High,Natural Gas Premium,Natural Gas,Yes,Living Space,0.266971414,3.741846154,4.95,1.964713414,-566.5063786966,-99.6400000000003,-0.0521350572156618,125.867346751298
143435,153503.0,1228.0,3,3,"CA, San Mateo",Standard,Yes,120% Usage,120% Usage,20 ft^2,Single-Family Detached,Single-Family Detached,Single-Family Detached,1000-1499,0-1499,1,1,Natural Gas,Uninsulated,120% Usage,Occupied,High,Natural Gas Tankless,Natural Gas,Yes,Outside,0.266971414,3.741846154,4.95,1.964713414,-1137.115752376,86.0299999999998,0.0560445072734739,1230.4101269383
144665,22543.0,623.0,2,3,"CA, San Mateo",,,100% Usage,100% Usage,20 ft^2,3 or 4 Unit,Multi-Family with 2 - 4 Units,Multi-Family with 2 - 4 Units,500-749,0-1499,2,2,Natural Gas,Uninsulated,100% Usage,Occupied,Medium,Natural Gas Standard,Natural Gas,Yes,Living Space,0.266971414,3.741846154,4.95,1.964713414,-709.231989884,129.61,0.574945659406467,1029.3054137751
144822,45272.0,1228.0,3,3,In another census Place,Standard,Yes,80% Usage,80% Usage,20 ft^2,Single-Family Detached,Single-Family Detached,Single-Family Detached,1000-1499,0-1499,1,1,Natural Gas,Uninsulated,70% Usage,Occupied,Low,Natural Gas Standard,Natural Gas,Yes,Outside,0.266971414,3.741846154,4.95,1.964713414,-614.2769631392,125.75,0.277765506273193,929.8598225763
145063,91243.0,623.0,1,3,"CA, Redwood City",,,80% Usage,80% Usage,20 ft^2,10 to 19 Unit,"Multi-Family with 5+ Units, 1-3 Stories",Multi-Family with 5+ Units,500-749,0-1499,2,2,Natural Gas,Uninsulated,80% Usage,Occupied,Low,Natural Gas Standard,Natural Gas,No,Conditioned Mechanical Room,0.266971414,3.741846154,4.95,1.964713414,-387.4399548044,111.39,0.122080597963679,698.8633722301
145206,42938.0,1228.0,4,3,"CA, San Mateo",EnergyStar,Yes,80% Usage,80% Usage,20 ft^2,Single-Family Detached,Single-Family Detached,Single-Family Detached,1000-1499,0-1499,1,1,Natural Gas,Uninsulated,70% Usage,Occupied,Low,Natural Gas Premium,Natural Gas,Yes,Garage,0.266971414,3.741846154,4.95,1.964713414,-291.3126437788,26.2099999999998,0.0610415017001253,327.8066698753
145489,266114.0,1138.0,3,3,In another census Place,Standard,Yes,80% Usage,80% Usage,20 ft^2,10 to 19 Unit,"Multi-Family with 5+ Units, 1-3 Stories",Multi-Family with 5+ Units,1000-1499,0-1499,2,2,Natural Gas,Uninsulated,80% Usage,Occupied,Low,Natural Gas Premium,Natural Gas,No,Conditioned Mechanical Room,0.266971414,3.741846154,4.95,1.964713414,-451.0363770378,66.8499999999999,0.0251208128847035,599.9167326383
145808,,881.0,2,3,"CA, San Bruno",Standard,Yes,100% Usage,100% Usage,20 ft^2,Single-Family Detached,Single-Family Detached,Single-Family Detached,750-999,0-1499,1,1,Natural Gas,Uninsulated,100% Usage,Vacant,Medium,Natural Gas Standard,Natural Gas,Yes,Living Space,0.266971414,3.741846154,4.95,1.964713414,-148.2939615212,58.3499999999999,,318.5896729169
146241,306574.0,1138.0,2,3,In another census Place,,,120% Usage,120% Usage,20 ft^2,2 Unit,Multi-Family with 2 - 4 Units,Multi-Family with 2 - 4 Units,1000-1499,0-1499,2,2,Natural Gas,Uninsulated,120% Usage,Occupied,High,Natural Gas Standard,Natural Gas,No,Conditioned Mechanical Room,0.266971414,3.741846154,4.95,1.964713414,-1101.947223952,239.02,0.0779648632956479,1724.8620976279
146956,37817.0,623.0,1,3,"CA, San Mateo",EnergyStar,Yes,80% Usage,80% Usage,20 ft^2,3 or 4 Unit,Multi-Family with 2 - 4 Units,Multi-Family with 2 - 4 Units,500-749,0-1499,2,2,Natural Gas,Uninsulated,70% Usage,Occupied,Low,Natural Gas Premium,Natural Gas,Yes,Living Space,0.266971414,3.741846154,4.95,1.964713414,-377.1824673474,1.25999999999999,0.0033318348890714,315.1015475916
147180,77794.0,623.0,2,3,"CA, Redwood City",EnergyStar,Yes,80% Usage,80% Usage,20 ft^2,50 or more Unit,"Multi-Family with 5+ Units, 8+ Stories",Multi-Family with 5+ Units,500-749,0-1499,12,4,Natural Gas,Uninsulated,60% Usage,Occupied,Low,Natural Gas Standard,Natural Gas,No,Conditioned Mechanical Room,0.266971414,3.741846154,4.95,1.964713414,-641.825643738,154.57,0.198691415790421,1056.3395190271
147639,73823.0,1228.0,3,3,"CA, Daly City",Standard,Yes,100% Usage,100% Usage,20 ft^2,Single-Family Detached,Single-Family Detached,Single-Family Detached,1000-1499,0-1499,1,1,Natural Gas,Uninsulated,90% Usage,Occupied,Medium,Natural Gas Premium,Natural Gas,Yes,Garage,0.266971414,3.741846154,4.95,1.964713414,-811.2207223136,121.64,0.164772496376468,1083.4734146005
147843,185611.0,1138.0,2,3,"CA, San Mateo",,,80% Usage,80% Usage,20 ft^2,10 to 19 Unit,"Multi-Family with 5+ Units, 1-3 Stories",Multi-Family with 5+ Units,1000-1499,0-1499,2,2,Electricity,Uninsulated,60% Usage,Occupied,Low,Electric Premium,Electricity,No,Conditioned Mechanical Room,0.266971414,3.741846154,4.95,1.964713414,823.529707262,219.9,0.118473581845903,75.7408539426
147865,128029.0,1228.0,1,3,"CA, Daly City",Standard,Yes,120% Usage,120% Usage,20 ft^2,Single-Family Detached,Single-Family Detached,Single-Family Detached,1000-1499,0-1499,2,2,Natural Gas,Uninsulated,150% Usage,Occupied,High,Natural Gas Tankless,Natural Gas,Yes,Living Space,0.266971414,3.741846154,4.95,1.964713414,-1001.1307758032,35.4400000000005,0.0276812284716752,950.0310752702
148327,274266.0,1228.0,3,3,In another census Place,Standard,Yes,120% Usage,120% Usage,20 ft^2,Single-Family Detached,Single-Family Detached,Single-Family Detached,1000-1499,0-1499,1,1,Natural Gas,Uninsulated,130% Usage,Occupied,High,Natural Gas Standard,Natural Gas,Yes,Outside,0.266971414,3.741846154,4.95,1.964713414,-712.162700586,138.62,0.0505421743854506,1057.0425872006
149771,189830.0,2115.0,2,3,"CA, San Bruno",Standard,Yes,100% Usage,100% Usage,20 ft^2,3 or 4 Unit,Multi-Family with 2 - 4 Units,Multi-Family with 2 - 4 Units,2000-2499,1500-2499,2,2,Electricity,Uninsulated,90% Usage,Occupied,Medium,Natural Gas Premium,Natural Gas,Yes,Living Space,0.266971414,3.741846154,4.95,1.964713414,-1250.8273276136,-72.4700000000003,-0.0381762629721332,574.8240027299
150192,32414.0,854.0,2,3,"CA, Redwood City",,,80% Usage,80% Usage,20 ft^2,20 to 49 Unit,"Multi-Family with 5+ Units, 1-3 Stories",Multi-Family with 5+ Units,750-999,0-1499,2,2,Natural Gas,Uninsulated,70% Usage,Occupied,Low,Natural Gas Standard,Natural Gas,No,Conditioned Mechanical Room,0.266971414,3.741846154,4.95,1.964713414,-592.2966328742,147.53,0.45514283951379,989.647832866
150396,1.0,1228.0,3,3,"CA, San Mateo",Standard,Yes,100% Usage,100% Usage,20 ft^2,Single-Family Detached,Single-Family Detached,Single-Family Detached,1000-1499,0-1499,1,1,Natural Gas,Uninsulated,110% Usage,Occupied,Medium,Natural Gas Premium,Natural Gas,Yes,Heated Basement,0.266971414,3.741846154,4.95,1.964713414,-439.8996763702,176.59,17659.0,608.3626225677
150569,31638.0,854.0,1,3,"CA, Daly City",EnergyStar,Yes,100% Usage,100% Usage,20 ft^2,50 or more Unit,"Multi-Family with 5+ Units, 8+ Stories",Multi-Family with 5+ Units,750-999,0-1499,11,4,Natural Gas,Uninsulated,110% Usage,Occupied,Medium,Natural Gas Standard,Natural Gas,No,Conditioned Mechanical Room,0.266971414,3.741846154,4.95,1.964713414,-536.906200606401,125.42,0.396422024148177,870.5979794358
150601,305836.0,2179.0,3,3,In another census Place,Standard,Yes,120% Usage,120% Usage,20 ft^2,Single-Family Detached,Single-Family Detached,Single-Family Detached,2000-2499,1500-2499,2,2,Natural Gas,Uninsulated,120% Usage,Occupied,High,Natural Gas Standard,Natural Gas,Yes,Outside,0.266971414,3.741846154,4.95,1.964713414,-679.924882863999,133.22,0.0435592932159719,1006.7119778254
150672,107681.0,1698.0,3,3,"CA, San Mateo",Standard,Yes,100% Usage,100% Usage,20 ft^2,Single-Family Detached,Single-Family Detached,Single-Family Detached,1500-1999,1500-2499,2,2,Natural Gas,Uninsulated,90% Usage,Occupied,Medium,Natural Gas Standard,Natural Gas,Yes,Garage,0.266971414,3.741846154,4.95,1.964713414,-496.169321848599,72.5600000000004,0.0673842182000541,654.960166737799
151073,326970.0,2678.0,4,3,In another census Place,EnergyStar,Yes,100% Usage,100% Usage,20 ft^2,Single-Family Detached,Single-Family Detached,Single-Family Detached,2500-2999,2500-3999,2,2,Natural Gas,Uninsulated,110% Usage,Occupied,Medium,Natural Gas Tankless,Natural Gas,Yes,Garage,0.266971414,3.741846154,4.95,1.964713414,-561.5241705032,3.6900000000000497,0.0011285439031105,474.7615259079
151625,305836.0,1698.0,3,3,In another census Place,EnergyStar,Yes,100% Usage,100% Usage,20 ft^2,Single-Family Detached,Single-Family Detached,Single-Family Detached,1500-1999,1500-2499,1,1,Natural Gas,Uninsulated,100% Usage,Occupied,Medium,Natural Gas Premium,Natural Gas,Yes,Garage,0.266971414,3.741846154,4.95,1.964713414,-509.6505910778,65.2200000000003,0.0213251546580521,637.7826236859
152450,108204.0,1228.0,3,3,"CA, Daly City",Standard,Yes,100% Usage,100% Usage,20 ft^2,Single-Family Detached,Single-Family Detached,Single-Family Detached,1000-1499,0-1499,1,1,Natural Gas,Uninsulated,90% Usage,Occupied,Medium,Natural Gas Standard,Natural Gas,Yes,Living Space,0.266971414,3.741846154,4.95,1.964713414,-399.162797612398,76.8199999999997,0.0709955269675793,591.4028038534
152808,158190.0,1698.0,3,3,"CA, Redwood City",Standard,Yes,100% Usage,100% Usage,20 ft^2,Single-Family Detached,Single-Family Detached,Single-Family Detached,1500-1999,1500-2499,1,1,Natural Gas,Uninsulated,110% Usage,Occupied,Medium,Natural Gas Premium,Natural Gas,Yes,Living Space,0.266971414,3.741846154,4.95,1.964713414,-867.1972967218,135.87,0.0858903849800872,1179.8118980648
154818,16657.0,623.0,1,3,"CA, Redwood City",,,100% Usage,100% Usage,20 ft^2,50 or more Unit,"Multi-Family with 5+ Units, 1-3 Stories",Multi-Family with 5+ Units,500-749,0-1499,3,3,Natural Gas,Uninsulated,90% Usage,Occupied,Medium,Natural Gas Premium,Natural Gas,Yes,Outside,0.266971414,3.741846154,4.95,1.964713414,-348.1684313976,38.0799999999999,0.228612595305276,414.0209716412
155073,178277.0,1228.0,2,3,"CA, Daly City",Standard,Yes,100% Usage,100% Usage,20 ft^2,Single-Family Detached,Single-Family Detached,Single-Family Detached,1000-1499,0-1499,1,1,Electricity,Uninsulated,110% Usage,Occupied,Medium,Natural Gas Standard,Natural Gas,Yes,Outside,0.266971414,3.741846154,4.95,1.964713414,-642.997928018801,183.88,0.103142861950785,949.3642944863
156254,416499.0,3310.0,4,4,In another census Place,Standard,Yes,120% Usage,120% Usage,20 ft^2,Single-Family Detached,Single-Family Detached,Single-Family Detached,3000-3999,2500-3999,2,2,Natural Gas,Uninsulated,140% Usage,Occupied,High,Electric Premium,Electricity,Yes,Garage,0.266971414,3.741846154,4.95,1.964713414,3070.2125314152,801.150000000001,0.192353403009371,175.8622977727
156472,40497.0,2179.0,4,4,In another census Place,Standard,Yes,100% Usage,100% Usage,20 ft^2,Single-Family Detached,Single-Family Detached,Single-Family Detached,2000-2499,1500-2499,1,1,Natural Gas,Uninsulated,80% Usage,Occupied,Medium,Natural Gas Standard,Natural Gas,Yes,Garage,0.266971414,3.741846154,4.95,1.964713414,-817.0821437176,145.03,0.358125293231598,1167.501401143
156967,127096.0,2179.0,4,3,In another census Place,Standard,Yes,100% Usage,100% Usage,20 ft^2,Single-Family Detached,Single-Family Detached,Single-Family Detached,2000-2499,1500-2499,1,1,Natural Gas,Uninsulated,90% Usage,Occupied,Medium,Natural Gas Tankless,Natural Gas,Yes,Outside,0.266971414,3.741846154,4.95,1.964713414,-572.367800100601,1.44999999999982,0.0011408698936237,477.0476314527
157115,112176.0,1698.0,3,3,"CA, San Bruno",Standard,Yes,100% Usage,100% Usage,20 ft^2,Single-Family Detached,Single-Family Detached,Single-Family Detached,1500-1999,1500-2499,1,1,Natural Gas,Uninsulated,100% Usage,Occupied,Medium,Natural Gas Premium,Natural Gas,Yes,Living Space,0.266971414,3.741846154,4.95,1.964713414,-470.379067671,33.5100000000002,0.0298727000427901,502.7708547554
157513,54746.0,1207.0,2,3,"CA, South San Francisco",,,80% Usage,80% Usage,20 ft^2,Single-Family Attached,Single-Family Attached,Single-Family Attached,1000-1499,0-1499,1,1,Natural Gas,Uninsulated,80% Usage,Occupied,Low,Natural Gas Standard,Natural Gas,Yes,Living Space,0.266971414,3.741846154,4.95,1.964713414,-255.5579732144,109.49,0.199996346765061,582.5577526384
157974,166392.0,1138.0,1,3,"CA, San Mateo",Standard,Yes,100% Usage,100% Usage,20 ft^2,50 or more Unit,"Multi-Family with 5+ Units, 1-3 Stories",Multi-Family with 5+ Units,1000-1499,0-1499,2,2,Electricity,Uninsulated,110% Usage,Occupied,Medium,Electric Tankless,Electricity,Yes,Living Space,0.266971414,3.741846154,4.95,1.964713414,1094.620447197,292.21,0.175615414202606,78.2356119776
158677,221785.0,1207.0,2,3,"CA, South San Francisco",EnergyStar,Yes,100% Usage,100% Usage,20 ft^2,Single-Family Attached,Single-Family Attached,Single-Family Attached,1000-1499,0-1499,1,1,Natural Gas,Uninsulated,90% Usage,Occupied,Medium,Natural Gas Premium,Natural Gas,Yes,Living Space,0.266971414,3.741846154,4.95,1.964713414,-721.8340459026,184.89,0.0833645196924949,1223.5563462276
