bldg_id,in.representative_income,in.sqft..ft2,in.area_median_income,in.bedrooms,in.cec_climate_zone,in.city,in.clothes_washer,in.clothes_washer_presence,in.clothes_washer_usage_level,in.dishwasher_usage_level,in.door_area,in.federal_poverty_level,in.geometry_building_type_acs,in.geometry_building_type_height,in.geometry_building_type_recs,in.geometry_floor_area,in.geometry_floor_area_bin,in.geometry_stories,in.geometry_stories_low_rise,in.heating_fuel,in.hot_water_distribution,in.hot_water_fixtures,in.income,in.income_recs_2020,in.vacancy_status,in.usage_level,in.water_heater_efficiency,in.water_heater_fuel,in.water_heater_in_unit,in.water_heater_location,in.utility_bill_electricity_marginal_rates,in.utility_bill_fuel_oil_marginal_rates,in.utility_bill_natural_gas_fixed_charges,in.utility_bill_natural_gas_marginal_rates,out.electricity.hot_water.energy_savings..kwh,out.site_energy.net.energy_savings..kwh,out.electricity.net.energy_savings..kwh,out.utility_bills.total_bill_savings..usd,out.energy_burden_savings..percentage,out.emissions_reduction.total.aer_mid_case_avg..co2e_kg
63618,111500.0,854.0,80-100%,1,3,In another census Place,EnergyStar,Yes,120% Usage,120% Usage,20 ft^2,400%+,50 or more Unit,"Multi-Family with 5+ Units, 1-3 Stories",Multi-Family with 5+ Units,750-999,0-1499,2,2,Natural Gas,Uninsulated,160% Usage,100000-119999,100000-149999,Occupied,High,Natural Gas Standard,Natural Gas,No,Conditioned Mechanical Room,0.266971414,3.741846154,4.95,1.964713414,-753.4857214842001,4452.3356984783995,-753.4857214842004,147.81000000000017,0.1325650224215249,1128.3654514594
64294,127900.0,854.0,100-120%,1,3,In another census Place,Standard,Yes,80% Usage,80% Usage,20 ft^2,400%+,20 to 49 Unit,"Multi-Family with 5+ Units, 1-3 Stories",Multi-Family with 5+ Units,750-999,0-1499,2,2,Natural Gas,Uninsulated,70% Usage,120000-139999,100000-149999,Occupied,Low,Natural Gas Standard,Natural Gas,Yes,Living Space,0.266971414,3.741846154,4.95,1.964713414,-268.74617137340005,1405.2757816089988,-256.73025749520025,42.87000000000012,0.033518373729476,355.45766075050005
64622,261599.0,1698.0,150%+,2,3,"CA, South San Francisco",Standard,Yes,100% Usage,100% Usage,20 ft^2,400%+,Single-Family Detached,Single-Family Detached,Single-Family Detached,1500-1999,1500-2499,1,1,Natural Gas,Uninsulated,110% Usage,200000+,150000+,Occupied,Medium,Natural Gas Premium,Natural Gas,Yes,Garage,0.266971414,3.741846154,4.95,1.964713414,-589.9520643126,2630.605926115197,-592.0035618040001,57.940000000000055,0.0221484027079614,683.2053636176997
65038,326928.0,1698.0,150%+,3,3,"CA, South San Francisco",EnergyStar,Yes,100% Usage,100% Usage,20 ft^2,400%+,Single-Family Detached,Single-Family Detached,Single-Family Detached,1500-1999,1500-2499,1,1,Natural Gas,Uninsulated,100% Usage,200000+,150000+,Occupied,Medium,Natural Gas Standard,Natural Gas,Yes,Living Space,0.266971414,3.741846154,4.95,1.964713414,-1125.392909568,5026.754996070404,-927.5699371829996,151.55999999999997,0.0463588313023051,1272.7484387541003
65735,107345.0,1698.0,60-80%,3,3,In another census Place,Standard,Yes,100% Usage,100% Usage,20 ft^2,400%+,Single-Family Detached,Single-Family Detached,Single-Family Detached,1500-1999,1500-2499,2,2,Electricity,Uninsulated,100% Usage,100000-119999,100000-149999,Occupied,Medium,Natural Gas Standard,Natural Gas,Yes,Garage,0.266971414,3.741846154,4.95,1.964713414,-960.9800391858,4747.165195099602,-1482.6465441418004,21.829999999999927,0.0203362988495037,1275.683181388
66575,151522.0,1138.0,120-150%,2,3,In another census Place,,,100% Usage,100% Usage,20 ft^2,400%+,20 to 49 Unit,"Multi-Family with 5+ Units, 1-3 Stories",Multi-Family with 5+ Units,1000-1499,0-1499,3,3,Natural Gas,Uninsulated,100% Usage,140000-159999,150000+,Occupied,Medium,Natural Gas Premium,Natural Gas,No,Conditioned Mechanical Room,0.266971414,3.741846154,4.95,1.964713414,-267.8669581628,1496.4208844412,-267.8669581627996,46.78999999999997,0.0308800042238088,379.1941494726
67006,399323.0,1698.0,150%+,4,3,In another census Place,Standard,Yes,120% Usage,120% Usage,20 ft^2,400%+,Single-Family Detached,Single-Family Detached,Single-Family Detached,1500-1999,1500-2499,2,2,Electricity,Uninsulated,110% Usage,200000+,150000+,Occupied,High,Electric Standard,Electricity,Yes,Garage,0.266971414,3.741846154,4.95,1.964713414,1827.298122697,1477.0781938079965,1477.0781938079965,394.3200000000006,0.0987471295167072,112.68595247910024
67436,63655.0,1228.0,30-60%,4,3,In another census Place,Standard,Yes,100% Usage,100% Usage,20 ft^2,300-400%,Single-Family Detached,Single-Family Detached,Single-Family Detached,1000-1499,0-1499,2,2,Natural Gas,Uninsulated,100% Usage,60000-69999,60000-99999,Occupied,Medium,Natural Gas Standard,Natural Gas,Yes,Living Space,0.266971414,3.741846154,4.95,1.964713414,-507.012951446,2310.279246386599,-528.1140685004002,49.26999999999998,0.0774016180975576,602.8197238063003
68140,76121.0,1228.0,30-60%,3,3,"CA, Redwood City",EnergyStar,Yes,100% Usage,100% Usage,20 ft^2,300-400%,Single-Family Detached,Single-Family Detached,Single-Family Detached,1000-1499,0-1499,1,1,Natural Gas,Uninsulated,100% Usage,70000-79999,60000-99999,Occupied,Medium,Natural Gas Premium,Natural Gas,Yes,Living Space,0.266971414,3.741846154,4.95,1.964713414,-629.5166587896,1274.859155369999,-679.0456696534002,-50.32000000000016,-0.0661052797519747,390.7607549075992
68158,175064.0,2678.0,100-120%,4,4,"CA, Redwood City",Standard,Yes,100% Usage,100% Usage,20 ft^2,400%+,Single-Family Detached,Single-Family Detached,Single-Family Detached,2500-2999,2500-3999,2,2,Natural Gas,Uninsulated,80% Usage,160000-179999,150000+,Occupied,Medium,Natural Gas Standard,Natural Gas,Yes,Living Space,0.266971414,3.741846154,4.95,1.964713414,-607.2432574544,2960.603951160396,-609.2947549458004,76.71000000000004,0.0438182607503543,759.9169052320999
68232,646149.0,3310.0,150%+,4,3,"CA, San Mateo",Standard,Yes,80% Usage,80% Usage,20 ft^2,400%+,Single-Family Detached,Single-Family Detached,Single-Family Detached,3000-3999,2500-3999,2,2,Electricity,Uninsulated,70% Usage,200000+,150000+,Occupied,Low,Electric Standard,Electricity,Yes,Garage,0.266971414,3.741846154,4.95,1.964713414,4555.789786259001,4444.129708512799,4444.129708512799,1186.4900000000002,0.1836248295671741,351.6701644610001
68859,169158.0,1138.0,100-120%,2,3,In another census Place,Standard,Yes,80% Usage,80% Usage,20 ft^2,400%+,50 or more Unit,"Multi-Family with 5+ Units, 4-7 Stories",Multi-Family with 5+ Units,1000-1499,0-1499,4,4+,Electricity,Uninsulated,60% Usage,160000-179999,150000+,Occupied,Low,Natural Gas Standard,Natural Gas,No,Conditioned Mechanical Room,0.266971414,3.741846154,4.95,1.964713414,-490.3079004446,3289.429691924801,-490.3079004445999,181.92000000000007,0.107544425921328,821.0112615474
69262,291385.0,5587.0,150%+,4,3,In another census Place,Standard,Yes,120% Usage,120% Usage,20 ft^2,400%+,Single-Family Detached,Single-Family Detached,Single-Family Detached,4000+,4000+,2,2,Natural Gas,Uninsulated,120% Usage,200000+,150000+,Occupied,High,Natural Gas Standard,Natural Gas,Yes,Garage,0.266971414,3.741846154,4.95,1.964713414,-1409.0857055216,6627.509181502803,-1305.338546670799,183.36000000000055,0.0629270552705185,1698.1908662718995
69585,42184.0,1698.0,30-60%,3,3,"CA, Daly City",Standard,Yes,120% Usage,120% Usage,20 ft^2,200-300%,Single-Family Detached,Single-Family Detached,Single-Family Detached,1500-1999,1500-2499,2,2,Natural Gas,Uninsulated,130% Usage,40000-44999,40000-59999,Occupied,High,Natural Gas Premium,Natural Gas,Yes,Living Space,0.266971414,3.741846154,4.95,1.964713414,-589.072851102,1256.102606877197,-622.4829531048008,-40.26000000000022,-0.0954390290157416,374.64915392520015
