bldg_id,in.representative_income,in.sqft..ft2,in.bedrooms,in.cec_climate_zone,in.city,in.clothes_washer,in.clothes_washer_presence,in.door_area,in.geometry_floor_area,in.geometry_floor_area_bin,in.geometry_stories,in.geometry_stories_low_rise,in.heating_fuel,in.hot_water_distribution,in.vacancy_status,in.usage_level,in.water_heater_efficiency,in.water_heater_fuel,in.water_heater_in_unit,in.water_heater_location,in.utility_bill_electricity_marginal_rates,in.utility_bill_fuel_oil_marginal_rates,in.utility_bill_natural_gas_fixed_charges,in.utility_bill_natural_gas_marginal_rates,out.utility_bills.total_bill_savings..usd
210521,152758.0,1228.0,3,3,6.0,1.0,1.0,20.0,1249.5,749.5,1,1,2.0,0.0,0.0,2.0,4.0,1.0,1.0,2.0,0.266971414,3.741846154,4.95,1.964713414,106.55
210585,127900.0,623.0,2,3,5.0,1.0,1.0,20.0,624.5,749.5,2,2,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.266971414,3.741846154,4.95,1.964713414,95.6699999999999
211442,108204.0,2179.0,4,3,5.0,1.0,1.0,20.0,2249.5,1999.5,3,3,2.0,0.0,0.0,0.0,5.0,1.0,1.0,4.0,0.266971414,3.741846154,4.95,1.964713414,-39.900000000000496
212284,58225.0,1228.0,3,3,3.0,2.0,1.0,20.0,1249.5,749.5,1,1,2.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.266971414,3.741846154,4.95,1.964713414,438.68
213610,280658.0,2179.0,3,3,5.0,1.0,1.0,20.0,2249.5,1999.5,2,2,2.0,0.0,0.0,2.0,3.0,1.0,1.0,4.0,0.266971414,3.741846154,4.95,1.964713414,-14.7900000000002
213859,52835.0,854.0,2,3,2.0,2.0,1.0,20.0,874.5,749.5,4,4,1.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,0.266971414,3.741846154,4.95,1.964713414,705.54
214018,47477.0,623.0,3,3,1.0,0.0,0.0,20.0,624.5,749.5,21,4,1.0,0.0,0.0,0.0,7.0,2.0,1.0,4.0,0.266971414,3.741846154,4.95,1.964713414,399.99
214219,399323.0,1228.0,3,4,5.0,1.0,1.0,20.0,1249.5,749.5,1,1,2.0,0.0,0.0,2.0,4.0,1.0,1.0,5.0,0.266971414,3.741846154,4.95,1.964713414,125.11
215041,15994.0,322.0,1,3,1.0,0.0,0.0,20.0,249.5,749.5,35,4,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.266971414,3.741846154,4.95,1.964713414,607.04
215284,92831.0,623.0,1,3,5.0,1.0,1.0,20.0,624.5,749.5,2,2,1.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,0.266971414,3.741846154,4.95,1.964713414,233.58
215809,171751.0,1138.0,1,3,1.0,2.0,1.0,20.0,1249.5,749.5,4,4,2.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,0.266971414,3.741846154,4.95,1.964713414,85.1500000000001
217072,190180.0,2179.0,4,3,5.0,1.0,1.0,20.0,2249.5,1999.5,1,1,2.0,0.0,0.0,0.0,3.0,1.0,1.0,2.0,0.266971414,3.741846154,4.95,1.964713414,67.3800000000001
217130,241160.0,854.0,2,3,4.0,0.0,0.0,20.0,874.5,749.5,3,3,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.266971414,3.741846154,4.95,1.964713414,458.54
219019,54667.0,1207.0,3,3,5.0,1.0,1.0,20.0,1249.5,749.5,1,1,2.0,0.0,0.0,2.0,4.0,1.0,1.0,5.0,0.266971414,3.741846154,4.95,1.964713414,134.6
219326,,3171.0,5,3,5.0,0.0,0.0,20.0,3499.5,3249.5,3,3,2.0,0.0,1.0,0.0,3.0,1.0,1.0,4.0,0.266971414,3.741846154,4.95,1.964713414,4.80000000000001
219698,23616.0,1698.0,3,3,5.0,1.0,1.0,20.0,1749.5,1999.5,1,1,2.0,0.0,0.0,2.0,3.0,1.0,1.0,2.0,0.266971414,3.741846154,4.95,1.964713414,38.3099999999999
