bldg_id,emis_red_pred,actual_emiss_red,bill_red_pred,actual_bill_sav,burden_red_pred,actual_burd_red,elecsav_pred,actual_elec_save,total_score
58669,0.6377683484358566,0.0493438713444444,-0.5766475768767116,-0.5457264487648309,0.6037085707378649,0.46415279853843,-0.7425247711485614,-0.4171371743524422,-0.01942385721288789
360967,0.07458760419246903,-0.8231100990692181,-0.6414887952380133,-0.7135285714704668,0.8742348625722576,-0.2819445299323756,-0.40055789163521843,-0.1471040911456116,-0.02330605502712628
200664,1.1077155740609652,0.2764012799029927,-0.09068265550463221,-0.3524201838018109,-0.5387554883474591,-0.3791614917578205,-0.5771514492742361,-0.3742324564641036,-0.024718504766340577
333784,1.4856042665835756,0.3367347302224415,-0.2297222629032149,-0.3101803391207378,-0.7365612466632201,-0.352137495874697,-0.6854060840108681,-0.3696268652783497,-0.041521331748431894
469521,1.4548324776483637,1.3245156525677324,-0.32990027907970976,-0.1149601507422432,-0.4829271049128165,-0.3622197889910194,-0.8327083087132161,-0.6626879044139485,-0.047675803764344715
180026,0.7980323821043926,0.5369031060180806,-0.43277484852567677,-0.5884113919146188,0.14320594433135236,-0.3358603040167592,-0.7106940216365363,-0.6685054932801641,-0.050557635931616995
319404,1.471360501867183,2.445725554458666,-0.33671838123429704,0.1390575453535337,-0.612556835803849,-0.3417747489523123,-0.7352532309226426,-0.9763529041173944,-0.05329198652340145
345757,0.42584184017969506,-0.4981403474228972,-0.6623156770888571,-0.6392861468887693,0.7377527175990509,0.0700368161622411,-0.7883138619588949,-0.2423671088298883,-0.07175874531725149
147180,0.6287774056834359,0.7856789626770903,-0.3560179413527199,-0.1454493958492361,0.08100742030890921,-0.0553661474282392,-0.6897694931680061,-0.443316324250411,-0.08400065213209522
321982,0.8245182177658389,0.3127746991758309,-0.10141702943021816,-0.002394748004165,-0.6108899756123495,-0.194982163646949,-0.45325059930542755,-0.3267221473900123,-0.08525984664553907
338565,1.3398580976566221,0.7168374597531483,-0.40813423160908535,-0.1231944724134763,-0.6446332854933855,-0.3308195689832343,-0.6508831991211932,-0.3970180128567795,-0.09094815464176048
65735,0.90968306501343,1.2674399694633545,-0.3669757759412004,-0.7362731032218149,-0.10617134286214447,-0.4050088234717778,-0.8089439995453345,-1.1387605932992402,-0.09310201333381235
170615,1.2295006697316377,1.0957147906066234,-0.39443210182765504,-0.3655950984757816,-0.5627517511689685,-0.3227595671649996,-0.6539383052167946,-0.7538301299846561,-0.09540537212044511
44924,1.314552883344747,0.0943150065396213,-0.25801664366683397,-0.3513074376300248,-0.7348754844263512,-0.3594265379805985,-0.7440509952796311,-0.2859990253265042,-0.10559756000701734
517942,1.3776840430182964,-0.24802950358707,-0.3968831975501383,-0.4282204530240132,-0.7813857171237965,-0.3782037641297601,-0.6458092689360267,-0.19437200068361,-0.11159853514791629
520464,0.7518840700726811,0.6775151135822646,-0.42643987744946754,-0.2384304659638443,-0.10117130980870491,-0.1315907472617893,-0.6721102530215699,-0.4709498713649338,-0.11195934255176532
371912,0.07458760419246903,0.1018068748751931,-0.6749875336428838,-0.3570046980295785,0.5379725482860849,0.0783730618115219,-0.415782486683184,-0.2949678081619186,-0.11955246696187848
406293,1.4146941487250908,2.394497912196016,-0.4703745059208765,0.1129302652399491,-0.5061772712061482,-0.344544678056865,-0.921309552262155,-0.9809584953031488,-0.12079179516602223
2277,0.7231284781986249,0.2244563310975747,-0.10912303921953369,-0.025851437305457,-0.5725232665377835,-0.1728808603943483,-0.5503811739437116,-0.2973918035228424,-0.12722475037560096
480125,0.6137646253050636,0.7112085959105974,-0.043568188409913416,-0.2426143915697666,-0.8199212870264346,-0.21650022469341,-0.33184551782921934,-0.4854938435304727,-0.14539259199012594
489624,-0.14689525219524202,0.0738618074798738,-0.5077246025824611,-0.4583091095091618,0.565458636526555,0.0879040689230759,-0.5029816541462696,-0.3601732833707503,-0.14803571809935442
235078,0.7800706798105213,0.3708267161856447,-0.25646194930317423,0.2891892588511734,-0.4695521027419794,-0.298544907973193,-0.6523909982196904,-0.3744748560001966,-0.14958359261358067
161042,-0.004401406321138813,-1.0106757974120657,-0.8354345407905123,-0.8907222718659963,0.762950489475466,-0.6530096155411605,-0.5267355107030461,-0.1965535965084431,-0.15090524208480782
399547,0.11817787925414533,0.2231313065116294,-0.1782855061880025,-0.021890060933891,-0.11322030317321513,-0.1189837092719686,-0.4516074441109454,-0.0952305904218582,-0.15623384355450443
172432,0.061073173475818164,1.2775420366073305,-0.6239361133032489,-0.1269332995506827,0.3938671589854253,0.1107059796550933,-0.4670848919131568,-0.6525071238980724,-0.15902016818879056
458342,0.8695449443606386,0.7125734708600293,-0.288083787858412,-0.2475994944193776,-0.7519495870922925,-0.2073562297863642,-0.46577579346909465,-0.4925234300771488,-0.15906605601479018
433056,0.9451229163137342,1.2621797214830586,-0.35934839051549616,-0.1305385971472757,-0.5709634160001075,-0.3219034886412217,-0.6560275008703633,-0.6498407290010562,-0.16030409776805818
543942,0.9309013086277019,0.6481155079196654,-0.2817726210647499,-0.305951903667944,-0.7755274245949026,-0.32506726042029,-0.5345745630380461,-0.5022194115208417,-0.16524332501749917
172070,0.822737042965634,1.3237485330706087,-0.4783933751094391,0.1432414709594529,-0.21091507232612838,0.1235390243583054,-0.8114025508460698,-0.4719194695093026,-0.16949348882900084
150672,0.8517052390797683,-0.0959007409751177,-0.7352887792075431,-0.5104746500425833,-0.1650424059665025,-0.3127773209158048,-0.6895839215703805,-0.3228437548125335,-0.18455246691616445
162327,1.2751168508366746,0.3686150210121117,-0.6673379412128189,-0.3912327702737789,-0.6894497992088906,-0.1914196587922485,-0.6714756538979834,-0.4440435228586876,-0.18828663587075456
471990,1.177409140335217,1.3698354784434246,-0.5038727522333372,0.0689100266840105,-0.7196277565425129,-0.3216016278430542,-0.7330159623632924,-0.550456919203211,-0.19477683270098137
49519,0.5193528382131553,0.3971379186779958,-0.3496410490590273,0.0584947225160758,-0.5293562573327604,-0.2929637980511369,-0.4272383346581223,-0.1131681560926893,-0.19672070070918868
327348,1.1501841277021216,0.5182431733152505,-0.6864288879973007,-0.3232662341009655,-0.5340030557141863,-0.2996382997829122,-0.7559770430801384,-0.4590722940964101,-0.20655621477237593
236208,-0.1687984051837616,-0.7185228200973603,-0.694631173473617,-0.680324225704312,0.5189574156199004,4.691213877030367,-0.5328386581888911,-0.1696472480021965,-0.21932770530659235
473848,1.257371491728833,1.7320952077227862,-0.651350115336927,-0.0278988902615471,-0.6795980707620898,-0.3128430922116229,-0.819771604106483,-0.787523665501486,-0.2233370746191667
228656,1.129168784181547,2.459962096814427,-0.60085993865976,0.5509961781494636,-0.6513325661145318,-0.2973727253046536,-0.8084657678541464,-0.6854734608066271,-0.2328723721117228
378522,0.47248358544780433,1.0690050844794063,-0.47418962754114297,-0.0739220719267011,-0.4583840425040825,-0.2686557064566323,-0.47947352868175636,-0.5182177809029329,-0.23489090331979437
385063,0.7644026761602453,0.085777066162513,-0.589970813831723,-0.4958754202687254,-0.5331749698710068,-0.2669242834823384,-0.5854112945917082,-0.3895036272379191,-0.23603860053354817
59850,1.154013227634143,0.6221430335169585,-0.8324588360747605,-0.2660710808710605,-0.5496617591504578,-0.1497847198597445,-0.7718252344020758,-0.4624658876017038,-0.24998315049828776
503455,1.04011331695278,0.9172549003205795,-0.5538233092414889,-0.3663517658725997,-0.6829544772003501,-0.3655789432616195,-0.831100526261397,-0.6743230821463796,-0.25694124893761394
264166,0.8617608678624068,-0.2176934143825255,-0.5684118397325021,-0.4573298928779882,-0.6589962404695053,-0.3815528586114804,-0.6643127241935018,-0.226368739447797,-0.2574899841332756
493538,0.5193528382131553,-0.0088376593467029,-0.5688601935807482,-0.4631606828181573,-0.582270077445443,-0.3792505237080139,-0.4928600601439845,-0.324298152029089,-0.2811593732392551
227064,0.19994711385695046,-0.0060780216752227,-0.37227021820845985,-0.4646740176117897,-0.5098013458565751,-0.3909205686082903,-0.4703461949698931,-0.3259949487817342,-0.2881176612944944
415490,0.37698983001687264,0.29719320705238,-0.4655061794596542,-0.3783249146810372,-0.6392462783035447,-0.153102339468715,-0.43144873321868693,-0.3999268072898885,-0.2898028402412533
222236,0.47794621615236565,1.7011414378841925,-0.4852759342779021,-0.2929550283814594,-0.562747841247719,-0.3494540045272271,-0.5981854297027953,-0.9734441096842866,-0.2920657472690127
437672,0.37273799860837703,0.0786538136891955,-0.47802248533881586,-0.3306103588347658,-0.5655781129585967,-0.3863492961679141,-0.4985412433885407,-0.2641830670781966,-0.2923509607693941
34672,0.5851307741867015,0.2525408747650991,-0.6063503292268415,-0.026697124396016,-0.6635244081723932,-0.3165000612702429,-0.5214052709277018,-0.3112085770801036,-0.3015373085350588
96423,0.24527082681989182,0.8388592727506079,-0.7915790296205103,-0.3355064419906318,0.06943895742145428,-0.0864546570504052,-0.7307003799185154,-0.6125112004428409,-0.30189240632441994
398957,-0.4765681826949352,0.4819992677237449,-0.9131930784508291,-0.6111114138190964,0.7230422599784844,-0.141443183071185,-0.5493958756892672,-0.6619607058056722,-0.30402871921413677
347855,0.5335373891081678,0.3946472709600502,-0.2616004726839886,-0.6362594773015066,-0.9408548453182484,-0.4160257616232122,-0.556556838780874,-0.6367511540520726,-0.30636869191873584
17187,0.4217149526147336,-0.3479542900309392,-0.5756579070722063,-0.5972243415951801,-0.5175211134966794,-0.3904398341383648,-0.5736352471078111,-0.2755758452745336,-0.31127482876549084
254250,0.3934154157708911,0.8931653555926357,-0.6844427378679874,-0.1902708116488582,-0.3930278951843837,-0.0678906650921841,-0.5637354629247175,-0.5262169655939801,-0.3119476700515494
125408,-0.0022983339034656197,-0.6825279792776495,-0.7677897946413422,-0.6359924182202756,0.10670023779067983,-0.242345929785285,-0.5849288176853402,-0.1519520818674576,-0.31207917710986705
